# Bispectrum monopole for NGC data, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
8.398341564699709008e-03 9.675989347270114865e-03 1.006495016666915897e-02 1.485038655461154747e+10 1.044359788694746017e+10 4.406788667664088249e+09 2.519241599999599904e+07
9.660816001471058539e-03 1.035486758812938397e-02 1.706745366152665269e-02 2.504017731259412766e+10 2.063338864493003845e+10 4.406788667664088249e+09 4.380962199999800324e+07
9.007772119436976629e-03 1.748944601386462350e-02 1.892607400560235298e-02 1.052642126919639015e+10 6.119632601532301903e+09 4.406788667664088249e+09 1.891255199999909997e+08
1.705150801613052394e-02 1.840421476683709243e-02 1.942570676309836666e-02 1.230659558747972107e+10 7.899806919815632820e+09 4.406788667664088249e+09 3.176460240001639724e+08
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 -1.874448456032595825e+10 -2.315127322799004745e+10 4.406788667664088249e+09 9.196639999979999848e+05
9.769466448901000660e-03 1.927894589043287199e-02 2.658851437906803103e-02 6.860599986679986954e+09 2.453811319015898705e+09 4.406788667664088249e+09 1.705401940000199974e+08
1.753799181603146046e-02 1.924126451164320101e-02 2.771166263083398029e-02 1.759848908532583618e+10 1.319170041766174698e+10 4.406788667664088249e+09 6.884498459997820854e+08
9.010971687876187866e-03 2.721676800270448823e-02 2.868675685440293457e-02 1.253595453998108292e+10 8.129165872316994667e+09 4.406788667664088249e+09 4.639415299999450445e+08
1.807293265473472119e-02 2.711679262636154317e-02 2.875705549350536169e-02 1.376170456935853195e+10 9.354915901694442749e+09 4.406788667664088249e+09 1.155257351999475002e+09
2.674763747754883153e-02 2.807730597274563783e-02 2.919598274312141042e-02 9.506858059366224289e+09 5.100069391702136040e+09 4.406788667664088249e+09 1.215319223999819994e+09
1.037300000000000028e-02 2.019699999999999968e-02 3.511100000000000332e-02 1.728982536421807480e+10 1.288303669655398560e+10 4.406788667664088249e+09 2.479973999997000210e+06
1.913500356436590236e-02 2.016242681516495008e-02 3.664189709052624588e-02 1.139001561918594360e+10 6.983226951521855354e+09 4.406788667664088249e+09 4.071720179999829531e+08
