# Bispectrum monopole for SGC EZmock_shuffled, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
8.458643687635583955e-03 9.733273207627112303e-03 1.012338142662168837e-02 1.144236914741042519e+10 5.843788739012393951e+09 5.598580408398031235e+09 1.962415200000287592e+07
9.711518948186937533e-03 1.040772635606919579e-02 1.713393120990102866e-02 1.536886319118576241e+10 9.770282782787731171e+09 5.598580408398031235e+09 3.420448599999275804e+07
9.061943131927175168e-03 1.753829776721911940e-02 1.897374305358028382e-02 1.490743361661207390e+10 9.308853208214042664e+09 5.598580408398031235e+09 1.449708000000317097e+08
1.710975378312780404e-02 1.846477127636731580e-02 1.946964903710885625e-02 1.650849209613363647e+10 1.090991168773560524e+10 5.598580408398031235e+09 2.415525119999837279e+08
1.042599999999999777e-02 1.042599999999999777e-02 2.516799999999999940e-02 1.841298043247860336e+10 1.281440002408057213e+10 5.598580408398031235e+09 7.910300000000000000e+05
9.820521154406269479e-03 1.930249500005554869e-02 2.662056446234393331e-02 1.622393247392645645e+10 1.062535206552842522e+10 5.598580408398031235e+09 1.321956740000027418e+08
1.758463707745426194e-02 1.927625147677498527e-02 2.772499363924041393e-02 1.658075780646379280e+10 1.098217739806576157e+10 5.598580408398031235e+09 5.224979999998779297e+08
9.064669251276243761e-03 2.722741922202234419e-02 2.869643634681614056e-02 1.379379219918742371e+10 8.195211790789392471e+09 5.598580408398031235e+09 3.530242739999733567e+08
1.811474090657940600e-02 2.713090050885080817e-02 2.876335184251657684e-02 1.536170885115273476e+10 9.763128442754703522e+09 5.598580408398031235e+09 8.704790399999916553e+08
2.676652798031708622e-02 2.809590633602085732e-02 2.920148794961489533e-02 1.437193778613668633e+10 8.773357377738655090e+09 5.598580408398031235e+09 9.131489040000584126e+08
1.042599999999999950e-02 2.021500000000000033e-02 3.511199999999999738e-02 1.657514207461320686e+10 1.097656166621517563e+10 5.598580408398031235e+09 2.148770000000968110e+06
1.915914777722623266e-02 2.018070032079673226e-02 3.665007852073263322e-02 1.660948706686652756e+10 1.101090665846849632e+10 5.598580408398031235e+09 3.150967800000789762e+08
9.824540196827285035e-03 2.910544784726366158e-02 3.647661563296274861e-02 1.480319939184617996e+10 9.204618983448148727e+09 5.598580408398031235e+09 2.777490099999806881e+08
1.826537761251088160e-02 2.801697385783032471e-02 3.764161678815114431e-02 1.514891957755776024e+10 9.550339169159729004e+09 5.598580408398031235e+09 1.501710456000158787e+09
2.713087769483350092e-02 2.876333222778471380e-02 3.776876891475523107e-02 1.415835249581184387e+10 8.559772087413812637e+09 5.598580408398031235e+09 1.869464304000200510e+09
9.068059895915924623e-03 3.708812421294728490e-02 3.857607329474625757e-02 1.226778663332795715e+10 6.669206224929925919e+09 5.598580408398031235e+09 6.630798319998978376e+08
1.811472851151706837e-02 3.699282902136129952e-02 3.864963375453055877e-02 1.396804375945526314e+10 8.369463351057231903e+09 5.598580408398031235e+09 1.637417880000405312e+09
2.787211798023610590e-02 3.699284537280990437e-02 3.864961348123573809e-02 1.325844480660303688e+10 7.659864398205005646e+09 5.598580408398031235e+09 2.562113064000330925e+09
3.660803096278970187e-02 3.792575416404707356e-02 3.908650020037438000e-02 1.244325192787477875e+10 6.844671519476747513e+09 5.598580408398031235e+09 2.350657992000252724e+09
2.021500000000000033e-02 2.021500000000000033e-02 4.509300000000000114e-02 1.646734384600534248e+10 1.086876343760731125e+10 5.598580408398031235e+09 4.930193999986025505e+06
1.042599999999999777e-02 3.012099999999999847e-02 4.509300000000000114e-02 1.492592577326442146e+10 9.327345364866390228e+09 5.598580408398031235e+09 3.775085999996058177e+06
1.935920488878801332e-02 2.916168605307901604e-02 4.635936381298902398e-02 1.519741285865248299e+10 9.598832450254451752e+09 5.598580408398031235e+09 7.272715379999706745e+08
