# Bispectrum RIC correction for sample SGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
8.458643687635583955e-03 9.733273207627112303e-03 1.012338142662168837e-02 -9.497395830977178877e-02
9.711518948186937533e-03 1.040772635606919579e-02 1.713393120990102866e-02 8.312918032967507934e-03
9.061943131927175168e-03 1.753829776721911940e-02 1.897374305358028382e-02 -3.882860210408133755e-02
1.710975378312780404e-02 1.846477127636731580e-02 1.946964903710885625e-02 3.002952974502671318e-02
1.042599999999999777e-02 1.042599999999999777e-02 2.516799999999999940e-02 1.035984184931781349e-01
9.820521154406269479e-03 1.930249500005554869e-02 2.662056446234393331e-02 1.123555189534332192e-02
1.758463707745426194e-02 1.927625147677498527e-02 2.772499363924041393e-02 1.582810357525500991e-02
9.064669251276243761e-03 2.722741922202234419e-02 2.869643634681614056e-02 -4.859716883016834688e-02
1.811474090657940600e-02 2.713090050885080817e-02 2.876335184251657684e-02 9.668058559707858393e-03
2.676652798031708622e-02 2.809590633602085732e-02 2.920148794961489533e-02 1.819104506182942643e-02
1.042599999999999950e-02 2.021500000000000033e-02 3.511199999999999738e-02 7.116544141296211878e-02
1.915914777722623266e-02 2.018070032079673226e-02 3.665007852073263322e-02 1.816624459473417663e-02
9.824540196827285035e-03 2.910544784726366158e-02 3.647661563296274861e-02 1.997023584458144235e-02
1.826537761251088160e-02 2.801697385783032471e-02 3.764161678815114431e-02 1.253004276542514506e-02
2.713087769483350092e-02 2.876333222778471380e-02 3.776876891475523107e-02 7.447628237336134660e-03
9.068059895915924623e-03 3.708812421294728490e-02 3.857607329474625757e-02 -5.255028834688906664e-02
1.811472851151706837e-02 3.699282902136129952e-02 3.864963375453055877e-02 8.573715539050617493e-03
2.787211798023610590e-02 3.699284537280990437e-02 3.864961348123573809e-02 -2.610647408264464130e-03
3.660803096278970187e-02 3.792575416404707356e-02 3.908650020037438000e-02 9.893676435395884830e-04
2.021500000000000033e-02 2.021500000000000033e-02 4.509300000000000114e-02 -1.265934864699192787e-02
1.042599999999999777e-02 3.012099999999999847e-02 4.509300000000000114e-02 7.153791215539097303e-02
1.935920488878801332e-02 2.916168605307901604e-02 4.635936381298902398e-02 1.961745169486601645e-02
2.728931811628075924e-02 2.903618153015970205e-02 4.754232297098928695e-02 2.434585199409124157e-03
9.825970025659751944e-03 3.904056720667000574e-02 4.642965028968559782e-02 3.040172524793543704e-02
1.826943049956095480e-02 3.791607356017102914e-02 4.758858638768534433e-02 1.597989133945039789e-02
2.787210219322681579e-02 3.776875404095710737e-02 4.772041827239565520e-02 2.895919614615327653e-03
3.699283736517672977e-02 3.864961960434056681e-02 4.772042583841679120e-02 2.688063893919888283e-03
9.067662598822766318e-03 4.702864242583293386e-02 4.851789522765533047e-02 -4.683532000152088731e-02
1.811473295155330634e-02 4.693583313380100125e-02 4.859293619957812810e-02 1.144226009866811979e-02
2.787211037754432422e-02 4.693585235732340710e-02 4.859294276592784900e-02 5.996258856685258293e-03
3.776875748972603059e-02 4.693585266098196374e-02 4.859294850574863434e-02 1.833396643168024856e-03
4.654576838981037273e-02 4.785210594875852208e-02 4.902676323547538323e-02 6.258870604715189093e-03
2.021500000000000033e-02 3.012099999999999847e-02 5.508300000000000002e-02 1.247049531765874984e-02
2.897054795071945035e-02 3.008189086300943477e-02 5.651746528091818739e-02 1.085847904751651924e-02
1.042599999999999950e-02 4.010899999999999882e-02 5.508300000000000002e-02 5.685466810775972185e-02
1.936038585867991615e-02 3.909897785667286463e-02 5.631818621991980384e-02 4.915640563685834755e-03
2.803234001169778791e-02 3.792743623000342096e-02 5.753778592287288329e-02 4.849259281582835035e-03
3.699283391529165077e-02 3.864961062461535340e-02 5.768153056106614662e-02 3.853138291669622791e-03
9.826522541100378774e-03 4.899288496023269240e-02 5.638800107786907240e-02 1.709892847860511669e-02
1.826966588046063933e-02 4.786611202440924084e-02 5.754794297313475110e-02 1.479255212165191645e-02
2.787210805789312393e-02 4.772042390286192898e-02 5.768153786541281580e-02 4.451171748573611378e-03
3.776876201284400103e-02 4.772042581738425437e-02 5.768154586977185944e-02 5.005692516851457420e-03
4.693585109590868443e-02 4.859294064480004088e-02 5.768152985628176993e-02 6.142141911248873501e-03
9.067915570132088418e-03 5.697628985709363852e-02 5.846871010696569337e-02 -4.978094779254138569e-02
1.811474138659825359e-02 5.688515870865403640e-02 5.854580343859635411e-02 9.508028313262218215e-03
2.787209836056405224e-02 5.688516504455971151e-02 5.854579165069805080e-02 6.779422836701696001e-03
3.776875329070943782e-02 5.688516343276445175e-02 5.854579101137048075e-02 1.800714368849601604e-03
4.772041803832052093e-02 5.688516750741161310e-02 5.854579699774836721e-02 6.831115307759236949e-03
5.648831370105154154e-02 5.778323856354800059e-02 5.897647456701310409e-02 3.973951085613008742e-03
3.012099999999999847e-02 3.012099999999999847e-02 6.506599999999999884e-02 2.487714282278475145e-02
2.021500000000000033e-02 4.010899999999999882e-02 6.506599999999999884e-02 -2.059998870064603388e-02
2.918415485593814709e-02 3.912130469032470276e-02 6.626506828990365305e-02 2.182300466077059190e-03
3.715677119492215297e-02 3.893953086722848345e-02 6.746298620597845908e-02 -3.143927124270036021e-03
1.042599999999999950e-02 5.008300000000000252e-02 6.506599999999999884e-02 1.219126159074722937e-01
1.936258769832076981e-02 4.905417652311461207e-02 6.628862483761119306e-02 1.318236835270497273e-02
2.803343733562063678e-02 4.787818893833389183e-02 6.751179867905626741e-02 2.619169664395430783e-03
3.776875922219289500e-02 4.772042086174911601e-02 6.765737915867808816e-02 5.671427801565075101e-04
4.693585351623843355e-02 4.859294373263580574e-02 6.765737096556487251e-02 7.815302795454387788e-03
9.826948413166010365e-03 5.896036649129482443e-02 6.636002831860060569e-02 2.538799277489282510e-02
1.827068286787870977e-02 5.782687259384387130e-02 6.752208644867066512e-02 9.743624438506636593e-03
2.787210700151814338e-02 5.768154471613782391e-02 6.765737752891468060e-02 1.892716003441251424e-03
3.776875560389632291e-02 5.768153960170160910e-02 6.765737966460289021e-02 2.102885319749888977e-03
4.772042598876696101e-02 5.768154260502145192e-02 6.765737929619100588e-02 3.153114553412533511e-03
5.688515620711520615e-02 5.854578776801536849e-02 6.765737098018714812e-02 2.010756845088455640e-03
9.068297037326318588e-03 6.694725104011418904e-02 6.844144644811182843e-02 -6.129310783484913372e-02
1.811474331352400449e-02 6.685663513942355363e-02 6.851960357602544793e-02 8.259816593432875442e-03
2.787209631351561870e-02 6.685663013165663027e-02 6.851959796586111484e-02 4.448105827837664679e-03
3.776876158265976557e-02 6.685663218877775649e-02 6.851959120936183811e-02 -2.823296643992885156e-04
4.772043068291065976e-02 6.685663222798893246e-02 6.851959718359336426e-02 2.721501085272719309e-03
5.768154002422859472e-02 6.685662468471789688e-02 6.851959844477598094e-02 9.589521720448539524e-04
6.645734158213477405e-02 6.774950027082067561e-02 6.894952005594118249e-02 1.465539582241675090e-03
3.012099999999999500e-02 4.010899999999999882e-02 7.506100000000000272e-02 4.066750526167526268e-03
3.889586011203616939e-02 4.006567406639964524e-02 7.646819368338540757e-02 9.107914600897236857e-04
2.021500000000000033e-02 5.008300000000000252e-02 7.506100000000000272e-02 -7.056374246227654391e-03
2.918819785407390788e-02 4.907865620064933571e-02 7.624425978625128109e-02 6.200942545215649623e-03
3.793419613918121158e-02 4.788380627218943864e-02 7.748682302479900641e-02 7.089839105341325630e-03
