# (k1,k2,k3) at z_eff=1.467710667916275 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  Minv(k1) Minv(k2) Minv(k3)
2.250270542932303677e-03 1.761942159631094216e-03 1.647291517986127028e-03
1.768735342119971904e-03 1.571540940631769049e-03 7.043289867049350389e-04
1.994074839667213557e-03 6.799994860893663826e-04 6.058757990401928122e-04
7.058384368503338750e-04 6.301713433570126435e-04 5.840429484382452614e-04
1.566878751367840406e-03 1.566878751367840406e-03 4.141185124021499477e-04
1.735138733957434978e-03 5.912103684872173012e-04 3.868713361823536596e-04
6.773179915967001297e-04 5.923530272696679675e-04 3.675310222191718033e-04
1.993029287706476593e-03 3.759261089712045696e-04 3.525167833748404033e-04
6.480954285610548158e-04 3.776136480402176297e-04 3.515453863135771387e-04
3.841647921019067336e-04 3.615913682069036889e-04 3.453734846551316756e-04
1.566878751367840406e-03 5.542748572932588427e-04 2.822335395175724969e-04
5.975103791551303507e-04 5.555703863911115115e-04 2.693593119604143090e-04
1.733920813926746003e-03 3.466988483657055327e-04 2.707112452802812514e-04
6.402543263779706968e-04 3.628333399134099873e-04 2.620849259225975394e-04
3.776140492502274518e-04 3.515456699193675208e-04 2.612059588125246871e-04
1.991730153674823884e-03 2.660520505113321706e-04 2.558967945340024242e-04
6.480960818780509124e-04 2.667587024131582059e-04 2.554357604784119966e-04
3.651433750724767768e-04 2.667585805545190326e-04 2.554358870280130358e-04
2.696847889972220098e-04 2.601370872203730340e-04 2.527734515826277105e-04
5.542748572932588427e-04 5.542748572932588427e-04 2.183407456813203477e-04
1.566878751367840406e-03 3.334267375266032141e-04 2.183407456813203477e-04
5.887573910234360436e-04 3.459209089155881878e-04 2.124437016857533506e-04
3.748541591940657931e-04 3.476642213039654117e-04 2.075099133573378495e-04
1.733487874149991677e-03 2.530473422368447714e-04 2.121354684717023360e-04
6.400460568095441742e-04 2.602024818157287669e-04 2.073276854400328735e-04
3.651436290223369950e-04 2.612060609360532335e-04 2.067751295855000163e-04
2.667586402311189573e-04 2.554358488064471496e-04 2.067750904524231104e-04
1.991882305482687698e-03 2.095867907740135130e-04 2.027658407441822143e-04
6.480958478531639866e-04 2.099726390161677815e-04 2.024002141328818500e-04
3.651434973693306273e-04 2.099725587555333257e-04 2.024001822250679210e-04
2.612060372567842929e-04 2.099725574877215966e-04 2.024001543336120931e-04
2.116305059566932136e-04 2.060972107446636386e-04 2.003245050463690804e-04
5.542748572932588427e-04 3.334267375266032141e-04 1.755871338787459506e-04
3.485863695241489231e-04 3.339084728648751880e-04 1.705533356251080464e-04
1.566878751367840406e-03 2.470312074264584832e-04 1.755871338787459506e-04
5.887065425776754268e-04 2.526992915764501597e-04 1.712253261538904635e-04
3.625906381269954548e-04 2.601257314127515389e-04 1.669031999931300594e-04
2.667586659412794661e-04 2.554359048595808012e-04 1.664022774356873897e-04
1.733320626679543544e-03 2.004842907857530749e-04 1.709889255826205949e-04
6.400339653602169247e-04 2.060254834594283410e-04 1.668676653240773933e-04
3.651435346832479912e-04 2.067751004635241623e-04 1.664022520889391705e-04
2.612060062010412463e-04 2.067750905612078635e-04 1.664022243130968619e-04
2.099725640220948182e-04 2.024001925322467239e-04 1.664022798813539431e-04
1.991785423477550592e-03 1.689010342848009381e-04 1.637329633467650544e-04
6.480954032603239044e-04 1.692315622714953883e-04 1.634781227422627198e-04
3.651436906746297496e-04 1.692315392297246129e-04 1.634781616202462618e-04
2.612060660872595722e-04 1.692315450913351805e-04 1.634781637288304837e-04
2.067751307961868948e-04 1.692315302730801861e-04 1.634781439849928696e-04
1.706511026867639209e-04 1.660503951885921345e-04 1.620755475190877081e-04
3.334267375266032141e-04 3.334267375266032141e-04 1.445260342173421673e-04
5.542748572932588427e-04 2.470312074264584832e-04 1.445260342173421673e-04
3.456115589945362690e-04 2.525668514152382463e-04 1.415883566870144246e-04
2.655473642571540456e-04 2.536547567586773912e-04 1.388084905040265049e-04
1.566878751367840406e-03 1.955325228049706180e-04 1.445260342173421673e-04
5.886117644585318019e-04 2.001954945835944738e-04 1.415325497041955058e-04
3.625733234533815778e-04 2.059636933783111270e-04 1.386981333182214044e-04
2.612060253616592712e-04 2.067751161928086279e-04 1.383707272784809469e-04
2.099725539169212030e-04 2.024001775275524595e-04 1.383707456319382642e-04
1.733191733191459614e-03 1.621273701553590835e-04 1.413638292733369385e-04
6.399817284234021872e-04 1.659000774152274071e-04 1.386749115271979679e-04
3.651435516761029768e-04 1.664022283163094453e-04 1.383707309293261438e-04
2.612060502049017518e-04 1.664022460638605683e-04 1.383707261451551189e-04
2.067750896747801322e-04 1.664022356420714042e-04 1.383707269704372630e-04
1.692315713688371376e-04 1.634781744258320365e-04 1.383707455991827818e-04
1.991639345564460636e-03 1.399924704948982471e-04 1.366512050722996398e-04
6.480953016963539965e-04 1.402039291331149686e-04 1.364837873799875322e-04
3.651437236035048710e-04 1.402039408477108689e-04 1.364837993717366244e-04
2.612060091546869293e-04 1.402039360355171482e-04 1.364838138137862043e-04
2.067750653956775323e-04 1.402039359437910152e-04 1.364838010438374231e-04
1.664022445976539363e-04 1.402039535896585840e-04 1.364837983480539938e-04
1.411349458994401354e-04 1.381648807200265582e-04 1.355755425219340904e-04
3.334267375266033225e-04 2.470312074264584832e-04 1.246909687522363081e-04
2.539194153715504886e-04 2.472610555781359280e-04 1.226753292588279799e-04
5.542748572932588427e-04 1.955325228049706180e-04 1.246909687522363081e-04
3.455559832770234907e-04 2.000805038962552291e-04 1.229860338887569040e-04
2.600801151800637189e-04 2.059349711459650340e-04 1.213151780932116729e-04
2.099725241431872689e-04 2.024001866032458085e-04 1.211203551861185192e-04
1.566878751367840406e-03 1.586517721364198209e-04 1.246909687522363081e-04
5.885207140940276532e-04 1.619205669779531071e-04 1.229504267909089631e-04
3.625564706026779098e-04 1.658586485553303002e-04 1.213096273512898000e-04
2.612059885022294291e-04 1.664022472504511890e-04 1.211203636627131624e-04
2.067751121641883086e-04 1.664022408349115128e-04 1.211203690652614849e-04
1.692315141490737321e-04 1.634781361494088271e-04 1.211203662086725639e-04
1.733134276480147911e-03 1.355934661094906186e-04 1.228485322773943884e-04
6.399663665755218412e-04 1.380467629012157107e-04 1.212953644689922147e-04
3.651436245318868826e-04 1.383707267937915098e-04 1.211203672757411978e-04
2.612060654743753713e-04 1.383707355106540823e-04 1.211203728082948882e-04
2.067751159926362297e-04 1.383707347841988907e-04 1.211203541980161106e-04
1.664022506725729871e-04 1.383707286606570587e-04 1.211203617723607452e-04
1.402039389456763495e-04 1.364837990969002912e-04 1.211203725410177887e-04
1.991730672920146838e-03 1.220574424144847946e-04 1.201471627350464265e-04
6.480952040593125326e-04 1.221777450788605129e-04 1.200515069603773436e-04
3.651434700150236025e-04 1.221777472843376875e-04 1.200514880623363475e-04
2.612060041401589655e-04 1.221777422709202990e-04 1.200514755870845589e-04
2.067751256383529637e-04 1.221777528620352252e-04 1.200515008848243191e-04
1.664022409996367884e-04 1.221777471246121561e-04 1.200514839580435277e-04
1.383707451697727478e-04 1.221777457860410293e-04 1.200514793368882220e-04
1.227255831997426641e-04 1.210187495379501789e-04 1.195401554392102066e-04
