# T(k1,k2,k3) at z_eff=1.467710667916275 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
8.161969512162331464e-01 7.872663523258081053e-01 7.784119642620002111e-01
7.877601144301300540e-01 7.719581131850011824e-01 6.355380621938413466e-01
8.025037062694722056e-01 6.282719961309963796e-01 6.024784677307362113e-01
6.359725065784833653e-01 6.116241858679655197e-01 5.935675289499007246e-01
7.715433515193276248e-01 7.715433515193276248e-01 5.009669895918492655e-01
7.852860629062615727e-01 5.965711212448617795e-01 4.793250122336498720e-01
6.274393246763925180e-01 5.970426913349876630e-01 4.651513145510808855e-01
8.024418308270959699e-01 4.715369384659137686e-01 4.526842994258500341e-01
6.179138845209634079e-01 4.727756118818481346e-01 4.518255390578901909e-01
4.774517886538008904e-01 4.603912044953455962e-01 4.462027170103237128e-01
7.715433515193275138e-01 5.801743112409696312e-01 3.776690601563623129e-01
5.991469286951891515e-01 5.807906424644967425e-01 3.632029377275560744e-01
7.851948416514715756e-01 4.474352481717645547e-01 3.648344118932170810e-01
6.152070922875828574e-01 4.614041848716449179e-01 3.538772018980938516e-01
4.727759046656598851e-01 4.518257907836553122e-01 3.526812953135186612e-01
8.023648724807591615e-01 3.590829773174920581e-01 3.450883383605155008e-01
6.179141072479426011e-01 3.599792591976282985e-01 3.443964786129051214e-01
4.632631935428330183e-01 3.599791054070030083e-01 3.443966692897535431e-01
3.635984085132381027e-01 3.512047986294022373e-01 3.402876093936640922e-01
5.801743112409696312e-01 5.801743112409696312e-01 2.959907350993496999e-01
7.715433515193276248e-01 4.344021542487884746e-01 2.959907350993496999e-01
5.955521007781852116e-01 4.467135148600126504e-01 2.878143015675065364e-01
4.707425586790908167e-01 4.483241778186390358e-01 2.801763804368920807e-01
7.851623884532792363e-01 3.407196239504582946e-01 2.873604882959945317e-01
6.151342659261587187e-01 3.512958478177030663e-01 2.798776750035155136e-01
4.632633961455002169e-01 3.526814352063666336e-01 2.790772151312036486e-01
3.599791807213645889e-01 3.443966116999862548e-01 2.790771794529871563e-01
8.023738900365761095e-01 2.834930219825458342e-01 2.753166446909610099e-01
6.179140274648942111e-01 2.840922565782070808e-01 2.749627826025849431e-01
4.632632911120181940e-01 2.840921324591730857e-01 2.749627516384041126e-01
3.526814027695873710e-01 2.840921304985642992e-01 2.749627245717907731e-01
2.866107575173857946e-01 2.784562306879438398e-01 2.729170343002505494e-01
5.801743112409696312e-01 4.344021542487884746e-01 2.466626000126712626e-01
4.491664867074943168e-01 4.349040615651888486e-01 2.412157134454200325e-01
7.715433515193275138e-01 3.306706704107515993e-01 2.466626000126712626e-01
5.955308799202841952e-01 3.401702530290797166e-01 2.419724068662546801e-01
4.612069832547216475e-01 3.511889782589011078e-01 2.378264810817360408e-01
3.599792131686416763e-01 3.443966961571856555e-01 2.373549799837849916e-01
7.851498478661181890e-01 2.730767901898769612e-01 2.417073090510499789e-01
6.151300363647963509e-01 2.783901838464288847e-01 2.377931646366107932e-01
4.632633208812741432e-01 2.790771885802608154e-01 2.373549560245784840e-01
3.526813602282102833e-01 2.790771795521678755e-01 2.373549297692403581e-01
2.840921406036521768e-01 2.749627616407627761e-01 2.373549822955693667e-01
8.023681482807435428e-01 2.396682611636766491e-01 2.347729287515350205e-01
6.179138758955007305e-01 2.399671831762601182e-01 2.345200526027934607e-01
4.632634453319980916e-01 2.399671623936659171e-01 2.345200912686321582e-01
3.526814422626868839e-01 2.399671676805638920e-01 2.345200933657096698e-01
2.790772162350048657e-01 2.399671543151915554e-01 2.345200737296120608e-01
2.413264065035943817e-01 2.370213645151083570e-01 2.331073953207089544e-01
4.344021542487884746e-01 4.344021542487884746e-01 2.147716046602278772e-01
5.801743112409696312e-01 3.306706704107515993e-01 2.147716046602278772e-01
4.464251613596917911e-01 3.399602619885044863e-01 2.113656086310309046e-01
