# P_lin(k1,k2,k3) at z_eff=1.4829819053951014 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  P_lin(k1) P_lin(k2) P_lin(k3)
5.150823920410351093e+03 5.482693682483039993e+03 5.568352863599395278e+03
5.477706906735221310e+03 5.626408068255974285e+03 6.151300475259358791e+03
5.318185245352545280e+03 6.142763881061802749e+03 6.086598131125020700e+03
6.151700829440511370e+03 6.110867023542243260e+03 6.058718518990275697e+03
5.630015987504735676e+03 5.630015987504735676e+03 5.518903248082836399e+03
5.502468318919349258e+03 6.068566359087525598e+03 5.341543002537058783e+03
6.141568437368131526e+03 6.070071408021084608e+03 5.201587330445964653e+03
5.318898653509482756e+03 5.265021943076899333e+03 5.076654361148086537e+03
6.124850878402226954e+03 5.277262177910146420e+03 5.068018867723783842e+03
5.323239765861025262e+03 5.154012132881643993e+03 5.011446210436401088e+03
5.630015987504736586e+03 6.009510338251037865e+03 4.276596847450573478e+03
6.076649575017199822e+03 6.011957939693953449e+03 4.103206478687337949e+03
5.503370571885813661e+03 5.023849153928083069e+03 4.122261123293380479e+03
6.119111554708123549e+03 5.164152850325442159e+03 3.996871746373903534e+03
5.277265068302789587e+03 5.068021399309052867e+03 3.983561592943589403e+03
5.319785435903062535e+03 4.055680616550203013e+03 3.900835666552703515e+03
6.124851333069866996e+03 4.065946640448393737e+03 3.893452947214528194e+03
5.182740928320054991e+03 4.065944875420903372e+03 3.893454978285805282e+03
4.107813235546783289e+03 3.967232916972132443e+03 3.850150409195106931e+03
6.009510338251037865e+03 6.009510338251037865e+03 3.350730371730302068e+03
5.630015987504735676e+03 4.892852389297300761e+03 3.350730371730302068e+03
6.065275830280675109e+03 5.016586348076019021e+03 3.267054666028063821e+03
5.257159955794959387e+03 5.032794258290005018e+03 3.195083591084069667e+03
5.503691377338936036e+03 3.854659412616176724e+03 3.262613774607051710e+03
6.118951271929498034e+03 3.968236485392854775e+03 3.192387132211568769e+03
5.182742952459348089e+03 3.983563145502957923e+03 3.184751384741516176e+03
4.065945739790206062e+03 3.893454364844984866e+03 3.184750948552244154e+03
5.319681557879170214e+03 3.225616784817510961e+03 3.140041579889299555e+03
6.124851170203671245e+03 3.231250342184931469e+03 3.135961494934114853e+03
5.182741903103031291e+03 3.231249171578316236e+03 3.135961138844073503e+03
3.983562785512872779e+03 3.231249153087194827e+03 3.135960827576440352e+03
3.255323201503460496e+03 3.177194631392505471e+03 3.112785889418288662e+03
6.009510338251037865e+03 4.892852389297300761e+03 2.850082480683323411e+03
5.041269724334800230e+03 4.897885410865074846e+03 2.800423102952917361e+03
5.630015987504736586e+03 3.752486475769010667e+03 2.850082480683323411e+03
6.065206751818819612e+03 3.848927333130229727e+03 2.807119516750224648e+03
5.162179339076612450e+03 3.967058585645983385e+03 2.767025368764820541e+03
4.065946112181823992e+03 3.893455264475243894e+03 2.762428508914020313e+03
5.503815317443350978e+03 3.114570760513557616e+03 2.804766580442287704e+03
6.118941953751153051e+03 3.176395030675767430e+03 2.766699742430776041e+03
5.182742200518267055e+03 3.184751060139046785e+03 2.762428275946389931e+03
3.983562313379953139e+03 3.184750949764793859e+03 2.762428020652368559e+03
3.231249248391475703e+03 3.135961253871815643e+03 2.762428531392686637e+03
5.319747701148824490e+03 2.785228991057991152e+03 2.737661655286885889e+03
6.124850860794428627e+03 2.788222896953570853e+03 2.735270036426354181e+03
5.182743443866062989e+03 2.788222688400280276e+03 2.735270401686539572e+03
3.983563223815467609e+03 2.788222741454285824e+03 2.735270421496767995e+03
3.184751398236203840e+03 2.788222607332821553e+03 2.735270236002655110e+03
2.801398904960468826e+03 2.759190590147842613e+03 2.722008711592363397e+03
4.892852389297300761e+03 4.892852389297300761e+03 2.542530250697525389e+03
6.009510338251037865e+03 3.752486475769010667e+03 2.542530250697525389e+03
5.013684650967591551e+03 3.846740738657465045e+03 2.506760208123324446e+03
4.048310786104634190e+03 3.864614048581231600e+03 2.470267163288108804e+03
5.630015987504736586e+03 3.059168818406872106e+03 2.542530250697525389e+03
6.065077899428233650e+03 3.111344677600409796e+03 2.506050553726940961e+03
5.162038395296512135e+03 3.175706198419646626e+03 2.468761502933794873e+03
3.983562604674191334e+03 3.184751235462472778e+03 2.464261777313198309e+03
3.231249101006824276e+03 3.135961086419971707e+03 2.464262030942496040e+03
5.503910839143793055e+03 2.722501826749060456e+03 2.503897668121351671e+03
6.118901681767772061e+03 2.757805114691886502e+03 2.468443972143315477e+03
5.182742335961909703e+03 2.762428057446799812e+03 2.464261827764811187e+03
3.983562982359919260e+03 2.762428220568539473e+03 2.464261761651584948e+03
3.184750939884397212e+03 2.762428124779530208e+03 2.464261773056292441e+03
2.788222979294483139e+03 2.735270521995495528e+03 2.464262030489842346e+03
5.319847435501715154e+03 2.486083537644927219e+03 2.439782392702361449e+03
6.124850790111909191e+03 2.488845619577728485e+03 2.437318841608123876e+03
5.182743706329363704e+03 2.488845772084471264e+03 2.437319018599750052e+03
3.983562358283518279e+03 2.488845709436820016e+03 2.437319231756362569e+03
3.184750669262075007e+03 2.488845708242681667e+03 2.437319043279033394e+03
2.762428207092305001e+03 2.488845937965752910e+03 2.437319003490760224e+03
2.500959117618510845e+03 2.461407243104594727e+03 2.423688690965905153e+03
4.892852389297302580e+03 3.752486475769010667e+03 2.214326018710919925e+03
3.868932193047957298e+03 3.756518594402614326e+03 2.162236044565885095e+03
6.009510338251037865e+03 3.059168818406872106e+03 2.214326018710919925e+03
5.013162526417334448e+03 3.110059997966329774e+03 2.170607175361954887e+03
3.966358115017988894e+03 3.175386001631365161e+03 2.123814999940080270e+03
3.231248666754820533e+03 3.135961187704379881e+03 2.118060872365690557e+03
5.630015987504736586e+03 2.688803459971618850e+03 2.214326018710919925e+03
6.064953998778889400e+03 2.720532492346781055e+03 2.169655117850209081e+03
5.161901191508806733e+03 2.757423019227705026e+03 2.123651966813717081e+03
3.983562044309154317e+03 2.762428231474761105e+03 2.118061124161296448e+03
3.184751190558235521e+03 2.762428172508092757e+03 2.118061284642882583e+03
2.788222461392864716e+03 2.735270162387032542e+03 2.118061199788504382e+03
5.503953420907125292e+03 2.423962121412771921e+03 2.166920311099992887e+03
6.118889833627900771e+03 2.459760252721382130e+03 2.123232802762586289e+03
5.182742916667688405e+03 2.464261770615197292e+03 2.118061231485557073e+03
3.983563214497940862e+03 2.464261891074906544e+03 2.118061395828891818e+03
3.184751233231289461e+03 2.464261881035907209e+03 2.118060843014291549e+03
2.762428262928250660e+03 2.464261796413711636e+03 2.118061068008753864e+03
2.488845747322794068e+03 2.437319014543318190e+03 2.118061387889483740e+03
