# T(k1,k2,k3) at z_eff=1.4829819053951014 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
8.162106992384047244e-01 7.872801514660245914e-01 7.784257790472093319e-01
7.877739126979086404e-01 7.719719393736469426e-01 6.355510375365110987e-01
8.025174784865078959e-01 6.282848806762173499e-01 6.024910299575866324e-01
6.359854873500111472e-01 6.116368623805747973e-01 5.935799798248173609e-01
7.715571784408238321e-01 7.715571784408238321e-01 5.009780662967417975e-01
7.852998655454903609e-01 5.965836096529518739e-01 4.793357345587630491e-01
6.274521988164721842e-01 5.970551856358621290e-01 4.651617739330318191e-01
8.024556031534605394e-01 4.715475163106810363e-01 4.526945275261373691e-01
6.179266396302419695e-01 4.727862127058486408e-01 4.518357512268960652e-01
4.774624762278319445e-01 4.604015755701788004e-01 4.462128248676218711e-01
7.715571784408237210e-01 5.801865947529709633e-01 3.776778583624628705e-01
5.991594492908127734e-01 5.808029336782314367e-01 3.632114400089411776e-01
7.852086444518809882e-01 4.474453788943480448e-01 3.648429475486822948e-01
6.152198135725296391e-01 4.614145747387699559e-01 3.538855134085425180e-01
4.727865054950919355e-01 4.518360029573310621e-01 3.526895823600297852e-01
8.023786449431030698e-01 3.590913953193393127e-01 3.450964700824994957e-01
6.179268623600043808e-01 3.599876955341717588e-01 3.444045961819328094e-01
4.632736178973324570e-01 3.599875417404005407e-01 3.444047868626817777e-01
3.636069188845298394e-01 3.512130554721138997e-01 3.402956429100397195e-01
5.801865947529709633e-01 5.801865947529709633e-01 2.959978346907893854e-01
7.715571784408238321e-01 4.344120431881051125e-01 2.959978346907893854e-01
5.955645764524991614e-01 4.467236321933703014e-01 2.878212253960319433e-01
4.707531217869321272e-01 4.483343250321889517e-01 2.801831400785171899e-01
7.851761913110308910e-01 3.407276663042944076e-01 2.873674023692222024e-01
6.151469863010604611e-01 3.513041065229528526e-01 2.798844282240846582e-01
4.632738205037582602e-01 3.526897222557394684e-01 2.790839510806797374e-01
3.599876170563027777e-01 3.444047292717363762e-01 2.790839154016797052e-01
8.023876624829866522e-01 2.834998529196302020e-01 2.753232980454979884e-01
6.179267825759590105e-01 2.840991003966067963e-01 2.749694281851048916e-01
4.632737154683276848e-01 2.840989762749047132e-01 2.749693972202439940e-01
3.526896898182966256e-01 2.840989743142537938e-01 2.749693701530361856e-01
2.866176554741898808e-01 2.784629529984858909e-01 2.729236349511678927e-01
5.801865947529709633e-01 4.344120431881051125e-01 2.466686211553839325e-01
4.491766495471262166e-01 4.349139598156323561e-01 2.412216133142443264e-01
7.715571784408237210e-01 3.306785071992240921e-01 2.466686211553839325e-01
5.955433553294202653e-01 3.401782841447671957e-01 2.419783235827133727e-01
4.612173694634635335e-01 3.511972347779849790e-01 2.378323046994046119e-01
3.599876495042436120e-01 3.444048137306634505e-01 2.373607929824523843e-01
7.851636507460280079e-01 2.730833943495779015e-01 2.417132198651564812e-01
6.151427566868451491e-01 2.783969047063572511e-01 2.377989875039367429e-01
4.632737452381359144e-01 2.790839245291538151e-01 2.373607690227062528e-01
3.526896472760493451e-01 2.790839155008625894e-01 2.373607427667768222e-01
2.840989844195588865e-01 2.749694072228223152e-01 2.373607952942888288e-01
8.023819207372993034e-01 2.396741262613437118e-01 2.347786835980471276e-01
6.179266310046714894e-01 2.399730550061558443e-01 2.345258017541075601e-01
