# Bispectrum monopole for NGC EZmock_shuffled, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
1.096977954252302198e-02 1.342766946515183864e-02 1.439484494697088057e-02 1.367264159101819992e+10 9.174062719466182709e+09 4.498578871552018166e+09 1.512744519999820590e+08
1.338070336731194722e-02 1.498621179521960993e-02 2.380180380283896530e-02 1.496888254657136154e+10 1.047030367501934433e+10 4.498578871552018166e+09 3.027022899999913573e+08
1.246300154672773212e-02 2.463223906815993278e-02 2.743925095264830236e-02 1.370607085806702614e+10 9.207491986515007019e+09 4.498578871552018166e+09 1.509755001999882698e+09
2.364864553230651423e-02 2.632405491141175807e-02 2.843786142341475989e-02 1.339125316059276009e+10 8.892674289040740967e+09 4.498578871552018166e+09 2.306469647999960423e+09
1.525999999999999926e-02 1.525999999999999926e-02 3.511100000000000332e-02 1.643821048829275513e+10 1.193963161674073792e+10 4.498578871552018166e+09 2.851374000000000000e+06
1.382795016208826673e-02 2.815648963908152363e-02 3.797471947745695992e-02 1.377632464045186615e+10 9.277745768899848938e+09 4.498578871552018166e+09 1.400927763999950409e+09
2.474325385137266312e-02 2.811148229921219335e-02 4.020946313291409724e-02 1.296173618586262512e+10 8.463157314310606956e+09 4.498578871552018166e+09 6.025597685999699593e+09
1.247285383988930643e-02 3.922955202216160675e-02 4.209500022215872245e-02 1.177489519181612587e+10 7.276316320264107704e+09 4.498578871552018166e+09 3.857588882000036716e+09
2.582433461569788591e-02 3.897957649985198114e-02 4.227404484496813386e-02 1.149073841380474663e+10 6.992159542252728462e+09 4.498578871552018166e+09 1.049794303200026894e+10
3.820631520850299723e-02 4.085484602117520070e-02 4.313039939914029008e-02 1.041763724598685646e+10 5.919058374434838295e+09 4.498578871552018166e+09 9.402553536000255585e+09
1.525999999999999926e-02 3.013700000000000059e-02 5.009299999999999864e-02 1.373262124294671822e+10 9.234042371394699097e+09 4.498578871552018166e+09 7.566781999997087754e+06
2.757805720358554383e-02 2.972335155992576056e-02 5.309218310004946983e-02 1.268826196176999855e+10 8.189683090217980385e+09 4.498578871552018166e+09 3.096799105999939919e+09
1.383433404626265018e-02 4.297090724397148453e-02 5.282731727554379475e-02 1.179051201347794914e+10 7.291933141925930977e+09 4.498578871552018166e+09 3.021761948000221252e+09
2.618305126384033385e-02 4.087328139277739136e-02 5.507190747832692995e-02 1.129109312297795296e+10 6.792514251425934792e+09 4.498578871552018166e+09 1.989248379800056839e+10
3.897956750318644359e-02 4.227402745738649548e-02 5.538244813394106736e-02 9.932572112846422195e+09 5.433993241294404030e+09 4.498578871552018166e+09 2.309442525599897766e+10
1.247416721723855829e-02 5.404443598086806216e-02 5.692260423528852642e-02 1.052589350891321373e+10 6.027314637361195564e+09 4.498578871552018166e+09 7.249336777999702454e+09
2.582435225864977701e-02 5.380414542261012512e-02 5.711143863106769858e-02 1.031336019599798965e+10 5.814781324445971489e+09 4.498578871552018166e+09 1.973181590400006866e+10
4.052231248702121980e-02 5.380413805619563283e-02 5.711143151363819864e-02 9.282887040792247772e+09 4.784308169240229607e+09 4.498578871552018166e+09 3.164147448000096130e+10
5.301198906178102715e-02 5.562287412023590727e-02 5.796364932709574536e-02 8.694521136634557724e+09 4.195942265082539558e+09 4.498578871552018166e+09 2.418227260800182343e+10
3.013700000000000059e-02 3.013700000000000059e-02 6.505900000000000571e-02 1.206448080633915710e+10 7.565901934787138939e+09 4.498578871552018166e+09 1.889304599998866394e+07
1.525999999999999926e-02 4.509300000000000114e-02 6.505900000000000571e-02 1.218909806015494347e+10 7.690519188602925301e+09 4.498578871552018166e+09 1.523838200003476627e+07
2.825315147386870882e-02 4.306670698585453316e-02 6.761069235500571928e-02 1.111110039460049438e+10 6.612521523048476219e+09 4.498578871552018166e+09 8.345250832000293732e+09
3.937640261474720238e-02 4.285703856031668202e-02 6.992771258833184456e-02 9.929473072193988800e+09 5.430894200641970634e+09 4.498578871552018166e+09 2.664262084200134277e+10
1.383669801578403177e-02 5.785863721281638700e-02 6.772837141453347254e-02 1.069520327011386490e+10 6.196624398561846733e+09 4.498578871552018166e+09 5.245484084000285149e+09
2.618817021113053339e-02 5.573179228161814769e-02 6.997623178022925605e-02 1.024518980839522934e+10 5.746610936843211174e+09 4.498578871552018166e+09 3.472359445399954987e+10
4.052231037837561445e-02 5.538244881654414559e-02 7.029587634301949495e-02 9.062914726939933777e+09 4.564335855387915611e+09 4.498578871552018166e+09 6.037738792799877167e+10
5.380414332956529738e-02 5.711142927195093227e-02 7.029587468334359823e-02 8.425661535194139481e+09 3.927082663642121315e+09 4.498578871552018166e+09 5.529648537600158691e+10
1.247589973889369486e-02 6.893259280444560821e-02 7.181983626007487631e-02 9.771801774546268463e+09 5.273222902994250298e+09 4.498578871552018166e+09 1.175223043400055885e+10
2.582434930029573264e-02 6.869606363064918730e-02 7.201536648374029514e-02 9.637703913221807480e+09 5.139125041669789314e+09 4.498578871552018166e+09 3.200363759999897003e+10
4.052231150434101870e-02 6.869605534600074781e-02 7.201536585739250207e-02 8.652462845694772720e+09 4.153883974142754555e+09 4.498578871552018166e+09 5.132020970399998474e+10
5.538244327612607681e-02 6.869605553229207739e-02 7.201537019340679968e-02 8.091350176998723984e+09 3.592771305446705818e+09 4.498578871552018166e+09 7.040458269600390625e+10
6.789318665676671860e-02 7.048691515834827614e-02 7.286598663330873249e-02 7.764100356196954727e+09 3.265521484644936562e+09 4.498578871552018166e+09 4.991255810400239563e+10
