# Bispectrum monopole for NGC EZmock_complete, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
1.096977954252302198e-02 1.342766946515183864e-02 1.439484494697088057e-02 1.434828655312501526e+10 9.849039657258415222e+09 4.499246895866600990e+09 1.512744519999820590e+08
1.338070336731194722e-02 1.498621179521960993e-02 2.380180380283896530e-02 1.505108517271461868e+10 1.055183827684801865e+10 4.499246895866600990e+09 3.027022899999913573e+08
1.246300154672773212e-02 2.463223906815993278e-02 2.743925095264830236e-02 1.407159821294231796e+10 9.572351317075717926e+09 4.499246895866600990e+09 1.509755001999882698e+09
2.364864553230651423e-02 2.632405491141175807e-02 2.843786142341475989e-02 1.339538305346851158e+10 8.896136157601909637e+09 4.499246895866600990e+09 2.306469647999960423e+09
1.525999999999999926e-02 1.525999999999999926e-02 3.511100000000000332e-02 1.692868212535775185e+10 1.242943522949114990e+10 4.499246895866600990e+09 2.851374000000000000e+06
1.382795016208826673e-02 2.815648963908152363e-02 3.797471947745695992e-02 1.383209378461104012e+10 9.332846888744438171e+09 4.499246895866600990e+09 1.400927763999950409e+09
2.474325385137266312e-02 2.811148229921219335e-02 4.020946313291409724e-02 1.299248264024217033e+10 8.493235744375569344e+09 4.499246895866600990e+09 6.025597685999699593e+09
1.247285383988930643e-02 3.922955202216160675e-02 4.209500022215872245e-02 1.207026006175526047e+10 7.571013165888659477e+09 4.499246895866600990e+09 3.857588882000036716e+09
2.582433461569788591e-02 3.897957649985198114e-02 4.227404484496813386e-02 1.151624445858803558e+10 7.016997562721434593e+09 4.499246895866600990e+09 1.049794303200026894e+10
3.820631520850299723e-02 4.085484602117520070e-02 4.313039939914029008e-02 1.046760326460801506e+10 5.968356368741414070e+09 4.499246895866600990e+09 9.402553536000255585e+09
1.525999999999999926e-02 3.013700000000000059e-02 5.009299999999999864e-02 1.389161849324990845e+10 9.392371597383308411e+09 4.499246895866600990e+09 7.566781999997087754e+06
2.757805720358554383e-02 2.972335155992576056e-02 5.309218310004946983e-02 1.273433198226965904e+10 8.235085086403058052e+09 4.499246895866600990e+09 3.096799105999939919e+09
1.383433404626265018e-02 4.297090724397148453e-02 5.282731727554379475e-02 1.179016642334662437e+10 7.290919527480023384e+09 4.499246895866600990e+09 3.021761948000221252e+09
2.618305126384033385e-02 4.087328139277739136e-02 5.507190747832692995e-02 1.131396489365321541e+10 6.814717997786614418e+09 4.499246895866600990e+09 1.989248379800056839e+10
3.897956750318644359e-02 4.227402745738649548e-02 5.538244813394106736e-02 9.942854164123592377e+09 5.443607268256991386e+09 4.499246895866600990e+09 2.309442525599897766e+10
1.247416721723855829e-02 5.404443598086806216e-02 5.692260423528852642e-02 1.076520399463871765e+10 6.265957098772116661e+09 4.499246895866600990e+09 7.249336777999702454e+09
2.582435225864977701e-02 5.380414542261012512e-02 5.711143863106769858e-02 1.031446682687869453e+10 5.815219931012093544e+09 4.499246895866600990e+09 1.973181590400006866e+10
4.052231248702121980e-02 5.380413805619563283e-02 5.711143151363819864e-02 9.309263966612796783e+09 4.810017070746195793e+09 4.499246895866600990e+09 3.164147448000096130e+10
5.301198906178102715e-02 5.562287412023590727e-02 5.796364932709574536e-02 8.707554783941036224e+09 4.208307888074435234e+09 4.499246895866600990e+09 2.418227260800182343e+10
3.013700000000000059e-02 3.013700000000000059e-02 6.505900000000000571e-02 1.214847205860654449e+10 7.649225162739943504e+09 4.499246895866600990e+09 1.889304599998866394e+07
1.525999999999999926e-02 4.509300000000000114e-02 6.505900000000000571e-02 1.212600360474350929e+10 7.626756708876908302e+09 4.499246895866600990e+09 1.523838200003476627e+07
2.825315147386870882e-02 4.306670698585453316e-02 6.761069235500571928e-02 1.113929849661923027e+10 6.640051600752629280e+09 4.499246895866600990e+09 8.345250832000293732e+09
3.937640261474720238e-02 4.285703856031668202e-02 6.992771258833184456e-02 9.944817866340162277e+09 5.445570970473561287e+09 4.499246895866600990e+09 2.664262084200134277e+10
1.383669801578403177e-02 5.785863721281638700e-02 6.772837141453347254e-02 1.068807842398437881e+10 6.188831528117777824e+09 4.499246895866600990e+09 5.245484084000285149e+09
2.618817021113053339e-02 5.573179228161814769e-02 6.997623178022925605e-02 1.025495541992318726e+10 5.755708524056586266e+09 4.499246895866600990e+09 3.472359445399954987e+10
4.052231037837561445e-02 5.538244881654414559e-02 7.029587634301949495e-02 9.072358307751108170e+09 4.573111411884507179e+09 4.499246895866600990e+09 6.037738792799877167e+10
5.380414332956529738e-02 5.711142927195093227e-02 7.029587468334359823e-02 8.429875328579243660e+09 3.930628432712642670e+09 4.499246895866600990e+09 5.529648537600158691e+10
1.247589973889369486e-02 6.893259280444560821e-02 7.181983626007487631e-02 9.983040270065914154e+09 5.483793374199313164e+09 4.499246895866600990e+09 1.175223043400055885e+10
2.582434930029573264e-02 6.869606363064918730e-02 7.201536648374029514e-02 9.640146483872194290e+09 5.140899588005593300e+09 4.499246895866600990e+09 3.200363759999897003e+10
4.052231150434101870e-02 6.869605534600074781e-02 7.201536585739250207e-02 8.666861189218612671e+09 4.167614293352011681e+09 4.499246895866600990e+09 5.132020970399998474e+10
5.538244327612607681e-02 6.869605553229207739e-02 7.201537019340679968e-02 8.094530025158596992e+09 3.595283129291996002e+09 4.499246895866600990e+09 7.040458269600390625e+10
6.789318665676671860e-02 7.048691515834827614e-02 7.286598663330873249e-02 7.774612410408057213e+09 3.275365514541456223e+09 4.499246895866600990e+09 4.991255810400239563e+10
