# Bispectrum monopole for NGC EZmock_shuffled, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
1.096977954252302198e-02 1.342766946515183864e-02 1.439484494697088057e-02 1.283762713375744247e+10 8.397267829718365669e+09 4.440359304039076805e+09 1.512744519999820590e+08
1.338070336731194722e-02 1.498621179521960993e-02 2.380180380283896530e-02 1.387358400499526215e+10 9.433224700956184387e+09 4.440359304039076805e+09 3.027022899999913573e+08
1.246300154672773212e-02 2.463223906815993278e-02 2.743925095264830236e-02 1.266831205913771629e+10 8.227952755098639488e+09 4.440359304039076805e+09 1.509755001999882698e+09
2.364864553230651423e-02 2.632405491141175807e-02 2.843786142341475989e-02 1.255419649919643402e+10 8.113837195157357216e+09 4.440359304039076805e+09 2.306469647999960423e+09
1.525999999999999926e-02 1.525999999999999926e-02 3.511100000000000332e-02 1.393156323430854034e+10 9.491203930269462585e+09 4.440359304039076805e+09 2.851374000000000000e+06
1.382795016208826673e-02 2.815648963908152363e-02 3.797471947745695992e-02 1.271653648457485199e+10 8.276177180535775185e+09 4.440359304039076805e+09 1.400927763999950409e+09
2.474325385137266312e-02 2.811148229921219335e-02 4.020946313291409724e-02 1.207567921924186134e+10 7.635319915202784538e+09 4.440359304039076805e+09 6.025597685999699593e+09
1.247285383988930643e-02 3.922955202216160675e-02 4.209500022215872245e-02 1.094965409759879494e+10 6.509294793559718132e+09 4.440359304039076805e+09 3.857588882000036716e+09
2.582433461569788591e-02 3.897957649985198114e-02 4.227404484496813386e-02 1.085098417838875771e+10 6.410624874349680901e+09 4.440359304039076805e+09 1.049794303200026894e+10
3.820631520850299723e-02 4.085484602117520070e-02 4.313039939914029008e-02 9.904213179154973984e+09 5.463853875115897179e+09 4.440359304039076805e+09 9.402553536000255585e+09
1.525999999999999926e-02 3.013700000000000059e-02 5.009299999999999864e-02 1.332267399499765778e+10 8.882314690958580017e+09 4.440359304039076805e+09 7.566781999997087754e+06
2.757805720358554383e-02 2.972335155992576056e-02 5.309218310004946983e-02 1.177352152098753166e+10 7.333162216948454857e+09 4.440359304039076805e+09 3.096799105999939919e+09
1.383433404626265018e-02 4.297090724397148453e-02 5.282731727554379475e-02 1.101481002375074387e+10 6.574450719711667061e+09 4.440359304039076805e+09 3.021761948000221252e+09
2.618305126384033385e-02 4.087328139277739136e-02 5.507190747832692995e-02 1.061091712533944893e+10 6.170557821300372124e+09 4.440359304039076805e+09 1.989248379800056839e+10
3.897956750318644359e-02 4.227402745738649548e-02 5.538244813394106736e-02 9.437123514616676331e+09 4.996764210577599525e+09 4.440359304039076805e+09 2.309442525599897766e+10
1.247416721723855829e-02 5.404443598086806216e-02 5.692260423528852642e-02 9.878739961130435944e+09 5.438380657091359138e+09 4.440359304039076805e+09 7.249336777999702454e+09
2.582435225864977701e-02 5.380414542261012512e-02 5.711143863106769858e-02 9.783401879618288040e+09 5.343042575579211235e+09 4.440359304039076805e+09 1.973181590400006866e+10
4.052231248702121980e-02 5.380413805619563283e-02 5.711143151363819864e-02 8.888045561869813919e+09 4.447686257830737114e+09 4.440359304039076805e+09 3.164147448000096130e+10
5.301198906178102715e-02 5.562287412023590727e-02 5.796364932709574536e-02 8.359094260571530342e+09 3.918734956532453537e+09 4.440359304039076805e+09 2.418227260800182343e+10
3.013700000000000059e-02 3.013700000000000059e-02 6.505900000000000571e-02 1.091996514352609253e+10 6.479605839487015724e+09 4.440359304039076805e+09 1.889304599998866394e+07
1.525999999999999926e-02 4.509300000000000114e-02 6.505900000000000571e-02 1.128974314994901276e+10 6.849383845909935951e+09 4.440359304039076805e+09 1.523838200003476627e+07
2.825315147386870882e-02 4.306670698585453316e-02 6.761069235500571928e-02 1.045546075442066956e+10 6.015101450381592751e+09 4.440359304039076805e+09 8.345250832000293732e+09
3.937640261474720238e-02 4.285703856031668202e-02 6.992771258833184456e-02 9.425465826273529053e+09 4.985106522234452248e+09 4.440359304039076805e+09 2.664262084200134277e+10
1.383669801578403177e-02 5.785863721281638700e-02 6.772837141453347254e-02 1.008205245861446381e+10 5.641693154575387001e+09 4.440359304039076805e+09 5.245484084000285149e+09
2.618817021113053339e-02 5.573179228161814769e-02 6.997623178022925605e-02 9.723631144211040497e+09 5.283271840171963692e+09 4.440359304039076805e+09 3.472359445399954987e+10
4.052231037837561445e-02 5.538244881654414559e-02 7.029587634301949495e-02 8.699558427848779678e+09 4.259199123809702873e+09 4.440359304039076805e+09 6.037738792799877167e+10
5.380414332956529738e-02 5.711142927195093227e-02 7.029587468334359823e-02 8.111247188851369858e+09 3.670887884812293053e+09 4.440359304039076805e+09 5.529648537600158691e+10
1.247589973889369486e-02 6.893259280444560821e-02 7.181983626007487631e-02 9.221780602131362915e+09 4.781421298092286110e+09 4.440359304039076805e+09 1.175223043400055885e+10
2.582434930029573264e-02 6.869606363064918730e-02 7.201536648374029514e-02 9.185161832234247208e+09 4.744802528195170403e+09 4.440359304039076805e+09 3.200363759999897003e+10
4.052231150434101870e-02 6.869605534600074781e-02 7.201536585739250207e-02 8.344870000183110237e+09 3.904510696144033432e+09 4.440359304039076805e+09 5.132020970399998474e+10
5.538244327612607681e-02 6.869605553229207739e-02 7.201537019340679968e-02 7.830483406755947113e+09 3.390124102716870308e+09 4.440359304039076805e+09 7.040458269600390625e+10
6.789318665676671860e-02 7.048691515834827614e-02 7.286598663330873249e-02 7.534836169534900665e+09 3.094476865495823860e+09 4.440359304039076805e+09 4.991255810400239563e+10
