# Bispectrum monopole for SGC EZmock_complete, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
1.096272276250029147e-02 1.341150122783255592e-02 1.439467569419479974e-02 1.468672278947984886e+10 9.088116676412208557e+09 5.598606113067641258e+09 1.139821779999989569e+08
1.336976380251333162e-02 1.499389540996371589e-02 2.379687358582757706e-02 1.712451617607480431e+10 1.152591006300716400e+10 5.598606113067641258e+09 2.289463400000076592e+08
1.246918352313568928e-02 2.462252353066774965e-02 2.743125047039297534e-02 1.510026991879137802e+10 9.501663805723735809e+09 5.598606113067641258e+09 1.143315577999979973e+09
2.364093471257577503e-02 2.631549144150962388e-02 2.843003946503771390e-02 1.514205489565915108e+10 9.543448782591510773e+09 5.598606113067641258e+09 1.746244775999928474e+09
1.528300000000000144e-02 1.528300000000000144e-02 3.511199999999999738e-02 1.784398739094651031e+10 1.224538127787886810e+10 5.598606113067641258e+09 2.191345999996960629e+06
1.382973033515656411e-02 2.814564907917695841e-02 3.796303303080544173e-02 1.545560569278641701e+10 9.856999579718776703e+09 5.598606113067641258e+09 1.063019488000064969e+09
2.473533631472875013e-02 2.810446980695635588e-02 4.019604636575693085e-02 1.463798499021776009e+10 9.039378877150119781e+09 5.598606113067641258e+09 4.565291226000117302e+09
1.247942589219206040e-02 3.921116880317256082e-02 4.207976620193568107e-02 1.305852715795474815e+10 7.459921044887106895e+09 5.598606113067641258e+09 2.925137314000195026e+09
2.581666891214891291e-02 3.896302077757729521e-02 4.225854930742504317e-02 1.321147932934509850e+10 7.612873216277457237e+09 5.598606113067641258e+09 7.961432520000141144e+09
3.818696244303777798e-02 4.083073292655032410e-02 4.311364418474188109e-02 1.198964635159271049e+10 6.391040238525069237e+09 5.598606113067641258e+09 7.133243376000396729e+09
1.528299999999999971e-02 3.012099999999999500e-02 5.008300000000000252e-02 1.498671528797670174e+10 9.388109174909061432e+09 5.598606113067641258e+09 5.740901999985978939e+06
2.757372568258311535e-02 2.971399417893317088e-02 5.308008757360357238e-02 1.420470126708105087e+10 8.606095154013408661e+09 5.598606113067641258e+09 2.346651228000133514e+09
1.383632904313153791e-02 4.296006005812288281e-02 5.281700058164258416e-02 1.355325618085016632e+10 7.954650067782525063e+09 5.598606113067641258e+09 2.293804732000058651e+09
2.617598051561569050e-02 4.086237200711086842e-02 5.506599331182617657e-02 1.291302514310319901e+10 7.314419030035557747e+09 5.598606113067641258e+09 1.510034676000051880e+10
3.896302843498925667e-02 4.225854632622691454e-02 5.537829506573363481e-02 1.157016785864039803e+10 5.971561745572756767e+09 5.598606113067641258e+09 1.754686843200093460e+10
1.248115433601820062e-02 5.403618801270777122e-02 5.691878607929098943e-02 1.181896398288242722e+10 6.220357869814785957e+09 5.598606113067641258e+09 5.508934058000085831e+09
2.581665195848436428e-02 5.379650569913911606e-02 5.710753457522639576e-02 1.189670642448602867e+10 6.298100311418387413e+09 5.598606113067641258e+09 1.499897810399861526e+10
4.051040764483369860e-02 5.379651118432347834e-02 5.710753151377513659e-02 1.083841543490146828e+10 5.239809321833827019e+09 5.598606113067641258e+09 2.407056311999970627e+10
5.300278139567884267e-02 5.561381548963662685e-02 5.795946532058551121e-02 1.019852122660010719e+10 4.599915113532465935e+09 5.598606113067641258e+09 1.841407658399858856e+10
3.012099999999999847e-02 3.012099999999999847e-02 6.506599999999999884e-02 1.329545932147237015e+10 7.696853208404728889e+09 5.598606113067641258e+09 1.390759200003421120e+07
1.528299999999999971e-02 4.509300000000000114e-02 6.506599999999999884e-02 1.385460879944893837e+10 8.256002686381297112e+09 5.598606113067641258e+09 1.137707000000312738e+07
2.824670788983676961e-02 4.306074103169749145e-02 6.760776745879365501e-02 1.262007005489940643e+10 7.021463941831765175e+09 5.598606113067641258e+09 6.310297420000373840e+09
3.936192721688473728e-02 4.284582631480714915e-02 6.992922527768767604e-02 1.145872172792420387e+10 5.860115614856562614e+09 5.598606113067641258e+09 2.021402274000130463e+10
1.383874184391257860e-02 5.786030619777580292e-02 6.773119800273603996e-02 1.234189797720588112e+10 6.743291864138239861e+09 5.598606113067641258e+09 3.983930755999639988e+09
2.618119241180800680e-02 5.572951859638469035e-02 6.997934617148822423e-02 1.181008932324254799e+10 6.211483210174906731e+09 5.598606113067641258e+09 2.637238910000044250e+10
4.051040081103066126e-02 5.537830064686959097e-02 7.030045317953960426e-02 1.061181385134762383e+10 5.013207738279982567e+09 5.598606113067641258e+09 4.590908711999971008e+10
5.379650842303920072e-02 5.710753182447284027e-02 7.030045177380636612e-02 9.912067766964952469e+09 4.313461653897311211e+09 5.598606113067641258e+09 4.208911343999729156e+10
1.248247697767577991e-02 6.893460385674263224e-02 7.182468899950669727e-02 1.106449270829595947e+10 5.465886595228318214e+09 5.598606113067641258e+09 8.922897566000524521e+09
2.581664267507281091e-02 6.869923892534413046e-02 7.201955162754365702e-02 1.119941675953144264e+10 5.600810646463801384e+09 5.598606113067641258e+09 2.430237796799807739e+10
4.051040708674973762e-02 6.869923129572232112e-02 7.201955083727597240e-02 1.015463859105435371e+10 4.556032477986712456e+09 5.598606113067641258e+09 3.900067864799832153e+10
5.537829740237597276e-02 6.869923544999681497e-02 7.201954745446391415e-02 9.565098296020292282e+09 3.966492182952651024e+09 5.598606113067641258e+09 5.356188748800793457e+10
6.789555645410819129e-02 7.048880585993373693e-02 7.287013398819087995e-02 9.200973408464248657e+09 3.602367295396607399e+09 5.598606113067641258e+09 3.795014109600001526e+10
