# Bispectrum monopole for SGC EZmock_shuffled, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
1.096272276250029147e-02 1.341150122783255592e-02 1.439467569419479974e-02 1.604337994516480446e+10 1.023277608283148766e+10 5.810603862333316803e+09 1.139821779999989569e+08
1.336976380251333162e-02 1.499389540996371589e-02 2.379687358582757706e-02 1.570580497354649353e+10 9.895201111213176727e+09 5.810603862333316803e+09 2.289463400000076592e+08
1.246918352313568928e-02 2.462252353066774965e-02 2.743125047039297534e-02 1.531332126042530251e+10 9.502717398091985703e+09 5.810603862333316803e+09 1.143315577999979973e+09
2.364093471257577503e-02 2.631549144150962388e-02 2.843003946503771390e-02 1.427248572173057556e+10 8.461881859397258759e+09 5.810603862333316803e+09 1.746244775999928474e+09
1.528300000000000144e-02 1.528300000000000144e-02 3.511199999999999738e-02 1.481688782855128479e+10 9.006283966217967987e+09 5.810603862333316803e+09 2.191345999996960629e+06
1.382973033515656411e-02 2.814564907917695841e-02 3.796303303080544173e-02 1.462902024724219131e+10 8.818416384908874512e+09 5.810603862333316803e+09 1.063019488000064969e+09
2.473533631472875013e-02 2.810446980695635588e-02 4.019604636575693085e-02 1.402234699490862274e+10 8.211743132575305939e+09 5.810603862333316803e+09 4.565291226000117302e+09
1.247942589219206040e-02 3.921116880317256082e-02 4.207976620193568107e-02 1.339479216406174469e+10 7.584188301728427887e+09 5.810603862333316803e+09 2.925137314000195026e+09
2.581666891214891291e-02 3.896302077757729521e-02 4.225854930742504317e-02 1.279902852856942558e+10 6.988424666236108780e+09 5.810603862333316803e+09 7.961432520000141144e+09
3.818696244303777798e-02 4.083073292655032410e-02 4.311364418474188109e-02 1.181261946017783737e+10 6.002015597844520569e+09 5.810603862333316803e+09 7.133243376000396729e+09
1.528299999999999971e-02 3.012099999999999500e-02 5.008300000000000252e-02 1.429371218031646347e+10 8.483108317983146667e+09 5.810603862333316803e+09 5.740901999985978939e+06
2.757372568258311535e-02 2.971399417893317088e-02 5.308008757360357238e-02 1.359589645265666580e+10 7.785292590323348999e+09 5.810603862333316803e+09 2.346651228000133514e+09
1.383632904313153791e-02 4.296006005812288281e-02 5.281700058164258416e-02 1.291779907110936737e+10 7.107195208776050568e+09 5.810603862333316803e+09 2.293804732000058651e+09
2.617598051561569050e-02 4.086237200711086842e-02 5.506599331182617657e-02 1.254845986237341690e+10 6.737856000040100098e+09 5.810603862333316803e+09 1.510034676000051880e+10
3.896302843498925667e-02 4.225854632622691454e-02 5.537829506573363481e-02 1.136770587262220764e+10 5.557102010288890839e+09 5.810603862333316803e+09 1.754686843200093460e+10
1.248115433601820062e-02 5.403618801270777122e-02 5.691878607929098943e-02 1.221565198809156227e+10 6.405048125758245468e+09 5.810603862333316803e+09 5.508934058000085831e+09
2.581665195848436428e-02 5.379650569913911606e-02 5.710753457522639576e-02 1.160469307508867073e+10 5.794089212755353928e+09 5.810603862333316803e+09 1.499897810399861526e+10
4.051040764483369860e-02 5.379651118432347834e-02 5.710753151377513659e-02 1.073317603941995621e+10 4.922572177086639404e+09 5.810603862333316803e+09 2.407056311999970627e+10
5.300278139567884267e-02 5.561381548963662685e-02 5.795946532058551121e-02 1.012911174076227379e+10 4.318507878428956985e+09 5.810603862333316803e+09 1.841407658399858856e+10
3.012099999999999847e-02 3.012099999999999847e-02 6.506599999999999884e-02 1.296448963676168823e+10 7.153885774428371429e+09 5.810603862333316803e+09 1.390759200003421120e+07
1.528299999999999971e-02 4.509300000000000114e-02 6.506599999999999884e-02 1.276746613261129379e+10 6.956862270277976990e+09 5.810603862333316803e+09 1.137707000000312738e+07
2.824670788983676961e-02 4.306074103169749145e-02 6.760776745879365501e-02 1.225675460422095871e+10 6.446150741887641907e+09 5.810603862333316803e+09 6.310297420000373840e+09
3.936192721688473728e-02 4.284582631480714915e-02 6.992922527768767604e-02 1.127383400426142502e+10 5.463230141928108215e+09 5.810603862333316803e+09 2.021402274000130463e+10
1.383874184391257860e-02 5.786030619777580292e-02 6.773119800273603996e-02 1.191303049576595497e+10 6.102426633432638168e+09 5.810603862333316803e+09 3.983930755999639988e+09
2.618119241180800680e-02 5.572951859638469035e-02 6.997934617148822423e-02 1.156303518331658936e+10 5.752431320983272552e+09 5.810603862333316803e+09 2.637238910000044250e+10
4.051040081103066126e-02 5.537830064686959097e-02 7.030045317953960426e-02 1.052249343291463661e+10 4.711889570581319809e+09 5.810603862333316803e+09 4.590908711999971008e+10
5.379650842303920072e-02 5.710753182447284027e-02 7.030045177380636612e-02 9.887267188348054886e+09 4.076663326014738083e+09 5.810603862333316803e+09 4.208911343999729156e+10
1.248247697767577991e-02 6.893460385674263224e-02 7.182468899950669727e-02 1.153301251250408173e+10 5.722408650170764923e+09 5.810603862333316803e+09 8.922897566000524521e+09
2.581664267507281091e-02 6.869923892534413046e-02 7.201955162754365702e-02 1.099276728855883026e+10 5.182163426225513458e+09 5.810603862333316803e+09 2.430237796799807739e+10
4.051040708674973762e-02 6.869923129572232112e-02 7.201955083727597240e-02 1.015139377671359634e+10 4.340789914380279541e+09 5.810603862333316803e+09 3.900067864799832153e+10
5.537829740237597276e-02 6.869923544999681497e-02 7.201954745446391415e-02 9.580674998216901779e+09 3.770071135883584976e+09 5.810603862333316803e+09 5.356188748800793457e+10
6.789555645410819129e-02 7.048880585993373693e-02 7.287013398819087995e-02 9.242629716642019272e+09 3.432025854308702469e+09 5.810603862333316803e+09 3.795014109600001526e+10
