# Bispectrum monopole for SGC data, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
1.096272276250090036e-02 1.341150122783221592e-02 1.439467569419486045e-02 1.268594353192764854e+10 6.902858577479510307e+09 5.783084954448138237e+09 1.139821780000080168e+08
1.336976380251372887e-02 1.499389540996374191e-02 2.379687358582796911e-02 1.901986767656245422e+10 1.323678272211431503e+10 5.783084954448138237e+09 2.289463400000110269e+08
1.246918352313579857e-02 2.462252353066758659e-02 2.743125047039262840e-02 1.603781409503208923e+10 1.025472914058395004e+10 5.783084954448138237e+09 1.143315578000033140e+09
2.364093471257538992e-02 2.631549144150892652e-02 2.843003946503765145e-02 1.501765569363192749e+10 9.234570739183788300e+09 5.783084954448138237e+09 1.746244775999979019e+09
1.528300000000000144e-02 1.528300000000000144e-02 3.511199999999999738e-02 -1.758925488997800827e+10 -2.337233984442614746e+10 5.783084954448138237e+09 2.191346000002000015e+06
1.382973033515633859e-02 2.814564907917675718e-02 3.796303303080544866e-02 1.494855310404401970e+10 9.165468149595882416e+09 5.783084954448138237e+09 1.063019488000041962e+09
2.473533631472846911e-02 2.810446980695660221e-02 4.019604636575774964e-02 1.594345003375186920e+10 1.016036507930373001e+10 5.783084954448138237e+09 4.565291226000173569e+09
1.247942589219185223e-02 3.921116880317258163e-02 4.207976620193590311e-02 1.716874012647273445e+10 1.138565517202459717e+10 5.783084954448138237e+09 2.925137314000051022e+09
2.581666891214862841e-02 3.896302077757735766e-02 4.225854930742539706e-02 1.361368450822916412e+10 7.830599553781025887e+09 5.783084954448138237e+09 7.961432520000386238e+09
3.818696244303802084e-02 4.083073292655094860e-02 4.311364418474208232e-02 1.278282314083893204e+10 6.999738186390793800e+09 5.783084954448138237e+09 7.133243375999830246e+09
1.528300000000000144e-02 3.012099999999999847e-02 5.008300000000000252e-02 1.857373990875983810e+10 1.279065495431169891e+10 5.783084954448138237e+09 5.740901999982000329e+06
2.757372568258304943e-02 2.971399417893303904e-02 5.308008757360348912e-02 1.592864524843013763e+10 1.014556029398199844e+10 5.783084954448138237e+09 2.346651227999853134e+09
1.383632904313129505e-02 4.296006005812288975e-02 5.281700058164216782e-02 1.066678701041549301e+10 4.883702055967354774e+09 5.783084954448138237e+09 2.293804732000044823e+09
2.617598051561537478e-02 4.086237200711098638e-02 5.506599331182632229e-02 1.224057011337139511e+10 6.457485158923256874e+09 5.783084954448138237e+09 1.510034675999985886e+10
3.896302843498971463e-02 4.225854632622735862e-02 5.537829506573370419e-02 1.240938332914930344e+10 6.626298374701165199e+09 5.783084954448138237e+09 1.754686843199851608e+10
1.248115433601789705e-02 5.403618801270784755e-02 5.691878607929120454e-02 1.174425986203855324e+10 5.961174907590415001e+09 5.783084954448138237e+09 5.508934058000355721e+09
2.581665195848409713e-02 5.379650569913944913e-02 5.710753457522670801e-02 1.229128491685216713e+10 6.508199962404028893e+09 5.783084954448138237e+09 1.499897810399969101e+10
4.051040764483312268e-02 5.379651118432381834e-02 5.710753151377561537e-02 1.054236409439487076e+10 4.759279139946732521e+09 5.783084954448138237e+09 2.407056311999954987e+10
5.300278139567892594e-02 5.561381548963642563e-02 5.795946532058540712e-02 1.088724511750363922e+10 5.104160163055500984e+09 5.783084954448138237e+09 1.841407658400063324e+10
3.012099999999999847e-02 3.012099999999999847e-02 6.506599999999999884e-02 1.288973405463515663e+10 7.106649100187018394e+09 5.783084954448138237e+09 1.390759200003200024e+07
1.528299999999999971e-02 4.509300000000000114e-02 6.506599999999999884e-02 1.585427413346682358e+10 1.007118917901868439e+10 5.783084954448138237e+09 1.137706999998500012e+07
2.824670788983677308e-02 4.306074103169747064e-02 6.760776745879344685e-02 1.140728674383641815e+10 5.624201789388279915e+09 5.783084954448138237e+09 6.310297419999907494e+09
3.936192721688470952e-02 4.284582631480687159e-02 6.992922527768694052e-02 1.129613948605426788e+10 5.513054531606129646e+09 5.783084954448138237e+09 2.021402274000126266e+10
1.383874184391269135e-02 5.786030619777624701e-02 6.773119800273577629e-02 1.166563267862965393e+10 5.882547724181515694e+09 5.783084954448138237e+09 3.983930755999961376e+09
2.618119241180804843e-02 5.572951859638504424e-02 6.997934617148791892e-02 1.189045455347654152e+10 6.107369599028403282e+09 5.783084954448138237e+09 2.637238910000037766e+10
4.051040081103061269e-02 5.537830064686964648e-02 7.030045317953971529e-02 1.055544693049097252e+10 4.772361976042834282e+09 5.783084954448138237e+09 4.590908712000192261e+10
5.379650842303997788e-02 5.710753182447365212e-02 7.030045177380608856e-02 1.041755454484285927e+10 4.634469590394721031e+09 5.783084954448138237e+09 4.208911344000040436e+10
1.248247697767557694e-02 6.893460385674288204e-02 7.182468899950691932e-02 1.263319908381534386e+10 6.850114129367205620e+09 5.783084954448138237e+09 8.922897565999885559e+09
2.581664267507307806e-02 6.869923892534390841e-02 7.201955162754332396e-02 1.127532697646688843e+10 5.492242022018750191e+09 5.783084954448138237e+09 2.430237796799943161e+10
4.051040708675029967e-02 6.869923129572269582e-02 7.201955083727631934e-02 9.828891992297183990e+09 4.045807037849045753e+09 5.783084954448138237e+09 3.900067864800076294e+10
5.537829740237583398e-02 6.869923544999725906e-02 7.201954745446374762e-02 9.684981802533191681e+09 3.901896848085053444e+09 5.783084954448138237e+09 5.356188748800151062e+10
6.789555645410806639e-02 7.048880585993316794e-02 7.287013398819075505e-02 9.043252859153573990e+09 3.260167904705435753e+09 5.783084954448138237e+09 3.795014109599958038e+10
