# Bispectrum monopole for NGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.738000000000000045e-03 5.738000000000000045e-03 5.738000000000000045e-03 1.042160469098510504e+09 -3.398198834940566063e+09 8.686966823182948303e+10 8.686919756255119324e+10
5.738000000000000045e-03 5.738000000000000045e-03 1.037300000000000028e-02 7.878556719810829163e+09 3.438197415771750450e+09 4.969530253868215179e+10 4.969515138376420593e+10
5.738000000000000045e-03 5.738000000000000045e-03 1.525999999999999926e-02 1.310621719088590813e+10 8.665857886846820831e+09 9.821655466911090088e+10 9.821627436363951111e+10
5.738000000000000045e-03 1.037300000000000028e-02 1.037300000000000028e-02 9.913623422734397888e+09 5.473264118695307732e+09 3.123192834524901962e+10 3.123222678134667206e+10
5.738000000000000045e-03 1.037300000000000028e-02 1.525999999999999926e-02 1.208918224070386124e+10 7.648822936664772987e+09 2.183062485534992599e+10 2.183100154816693878e+10
5.738000000000000045e-03 1.037300000000000028e-02 2.019699999999999968e-02 1.250102750947302818e+10 8.060668205433949471e+09 4.698902817130889893e+10 4.698908516576113892e+10
5.738000000000000045e-03 1.525999999999999926e-02 1.525999999999999926e-02 1.131851637633533096e+10 6.878157072296231270e+09 2.117001452260390854e+10 2.117028463499288177e+10
5.738000000000000045e-03 1.525999999999999926e-02 2.019699999999999968e-02 1.286618205501279831e+10 8.425822750973735809e+09 1.688549562390777016e+10 1.688556960978635216e+10
5.738000000000000045e-03 1.525999999999999926e-02 2.516699999999999840e-02 1.458566258890499115e+10 1.014530328486592293e+10 3.467184321672586823e+10 3.467207173917710876e+10
5.738000000000000045e-03 2.019699999999999968e-02 2.019699999999999968e-02 1.135168109536602402e+10 6.911321791326949120e+09 1.685775421713922501e+10 1.685752399150900269e+10
5.738000000000000045e-03 2.019699999999999968e-02 2.516699999999999840e-02 1.350332166131904984e+10 9.062962357279975891e+09 1.332501004596707344e+10 1.332447328052514267e+10
5.738000000000000045e-03 2.019699999999999968e-02 3.013700000000000059e-02 1.527454246435283852e+10 1.083418316031375694e+10 2.728290651979778290e+10 2.728269483815608978e+10
5.738000000000000045e-03 2.516699999999999840e-02 2.516699999999999840e-02 1.124936337293093681e+10 6.809004068891861916e+09 1.391995755361675835e+10 1.391968877037789917e+10
5.738000000000000045e-03 2.516699999999999840e-02 3.013700000000000059e-02 1.239043069018476295e+10 7.950071386145689011e+09 1.032892705273121643e+10 1.032850310573840714e+10
5.738000000000000045e-03 2.516699999999999840e-02 3.511100000000000332e-02 1.465174179319923019e+10 1.021138248916013145e+10 2.104878495217658234e+10 2.104881452580074692e+10
5.738000000000000045e-03 3.013700000000000059e-02 3.013700000000000059e-02 1.008846968930850410e+10 5.648110385269421577e+09 1.191144924627637100e+10 1.191125060319642067e+10
5.738000000000000045e-03 3.013700000000000059e-02 3.511100000000000332e-02 1.184982526788510895e+10 7.409465963846022606e+09 9.198859129815517426e+09 9.198986422896619797e+09
5.738000000000000045e-03 3.013700000000000059e-02 4.009599999999999970e-02 1.331411102558843803e+10 8.873751721549358368e+09 1.888173190391678619e+10 1.888195367907827377e+10
5.738000000000000045e-03 3.511100000000000332e-02 3.511100000000000332e-02 9.934317632028667450e+09 5.493958327989588737e+09 1.068778673061776733e+10 1.068750100571978569e+10
