# Bispectrum monopole for NGC EZmock_shuffled
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.738000000000000045e-03 5.738000000000000045e-03 5.738000000000000045e-03 4.971849554548878670e+09 4.732706829968606234e+08 9.765942457835310364e+10 9.765965261856198120e+10
5.738000000000000045e-03 5.738000000000000045e-03 1.037300000000000028e-02 1.274731714403954124e+10 8.248738272487545967e+09 5.136579184500804901e+10 5.136585902956203461e+10
5.738000000000000045e-03 5.738000000000000045e-03 1.525999999999999926e-02 1.555142868420424080e+10 1.105284981265221596e+10 1.028907119958828430e+11 1.028901485261421967e+11
5.738000000000000045e-03 1.037300000000000028e-02 1.037300000000000028e-02 1.329472099424045753e+10 8.796142122688432693e+09 3.297574186989344788e+10 3.297618499999738312e+10
5.738000000000000045e-03 1.037300000000000028e-02 1.525999999999999926e-02 1.344075110596714020e+10 8.942172234415124893e+09 2.401559277545566177e+10 2.401553344915904999e+10
5.738000000000000045e-03 1.037300000000000028e-02 2.019699999999999968e-02 1.093180716706562996e+10 6.433228295513603210e+09 5.033574703567931366e+10 5.033536730833900452e+10
5.738000000000000045e-03 1.525999999999999926e-02 1.525999999999999926e-02 1.225071121692436981e+10 7.752132345372324944e+09 2.331338795412696075e+10 2.331440215578889084e+10
5.738000000000000045e-03 1.525999999999999926e-02 2.019699999999999968e-02 1.416045132417937088e+10 9.661872452627353668e+09 1.825788977152534485e+10 1.825869540977657700e+10
5.738000000000000045e-03 1.525999999999999926e-02 2.516699999999999840e-02 1.529467500199434853e+10 1.079609613044234467e+10 3.860789508077678680e+10 3.860860845919585419e+10
5.738000000000000045e-03 2.019699999999999968e-02 2.019699999999999968e-02 1.248024231674956894e+10 7.981663445197548866e+09 1.855895333390869141e+10 1.855836219051051712e+10
5.738000000000000045e-03 2.019699999999999968e-02 2.516699999999999840e-02 1.379535550596206474e+10 9.296776634410024643e+09 1.466353037952086258e+10 1.466378418399689102e+10
5.738000000000000045e-03 2.019699999999999968e-02 3.013700000000000059e-02 1.488587513831081963e+10 1.038729626675878716e+10 3.042643728293226242e+10 3.042531012215967941e+10
5.738000000000000045e-03 2.516699999999999840e-02 2.516699999999999840e-02 1.317546930897843552e+10 8.676890437426395416e+09 1.547919007271364594e+10 1.547939514721059608e+10
5.738000000000000045e-03 2.516699999999999840e-02 3.013700000000000059e-02 1.354950405867099190e+10 9.050925187118997574e+09 1.165240220242152405e+10 1.165232603184618759e+10
5.738000000000000045e-03 2.516699999999999840e-02 3.511100000000000332e-02 1.369993699686946487e+10 9.201358125317438126e+09 2.376385439712414551e+10 2.376459390935887909e+10
5.738000000000000045e-03 3.013700000000000059e-02 3.013700000000000059e-02 1.146947697575042534e+10 6.970898104198390961e+09 1.322633483006750870e+10 1.322554441911865807e+10
5.738000000000000045e-03 3.013700000000000059e-02 3.511100000000000332e-02 1.275752955630792999e+10 8.258950684755902290e+09 1.008061281730167961e+10 1.008009860659964371e+10
5.738000000000000045e-03 3.013700000000000059e-02 4.009599999999999970e-02 1.341714110495683670e+10 8.918562233404802322e+09 2.059423239390252304e+10 2.059378595013002396e+10
5.738000000000000045e-03 3.511100000000000332e-02 3.511100000000000332e-02 1.087798936792779922e+10 6.379410496375766754e+09 1.163932125399492645e+10 1.163846360669024277e+10
