# Bispectrum monopole for NGC data
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  BSN  N_tr
5.738000000000000045e-03 5.738000000000000045e-03 5.738000000000000045e-03 -5.852707117025618744e+10 -6.293385983792027283e+10 4.406788667664088249e+09 1.674330000000000000e+06
5.738000000000000045e-03 5.738000000000000045e-03 1.037300000000000028e-02 -2.889485819984395218e+10 -3.330164686750804138e+10 4.406788667664088249e+09 2.114102000000000000e+06
5.738000000000000045e-03 5.738000000000000045e-03 1.525999999999999926e-02 -3.469496747452445221e+10 -3.910175614218853760e+10 4.406788667664088249e+09 1.713860000000000000e+05
5.738000000000000045e-03 1.037300000000000028e-02 1.037300000000000028e-02 2.378184799557041550e+10 1.937505932790632629e+10 4.406788667664088249e+09 6.944343999997000210e+06
5.738000000000000045e-03 1.037300000000000028e-02 1.525999999999999926e-02 1.486833553155032539e+10 1.046154686388623810e+10 4.406788667664088249e+09 6.155654000000000000e+06
5.738000000000000045e-03 1.037300000000000028e-02 2.019699999999999968e-02 8.501128561963749886e+09 4.094339894299661636e+09 4.406788667664088249e+09 4.044620000000000000e+05
5.738000000000000045e-03 1.525999999999999926e-02 1.525999999999999926e-02 4.605603697364207458e+10 4.164924830597798920e+10 4.406788667664088249e+09 1.578581199999500066e+07
5.738000000000000045e-03 1.525999999999999926e-02 2.019699999999999968e-02 2.956045619418592834e+10 2.515366752652183914e+10 4.406788667664088249e+09 1.221751399999699928e+07
5.738000000000000045e-03 1.525999999999999926e-02 2.516699999999999840e-02 1.286331831018171549e+09 -3.120456836645916939e+09 4.406788667664088249e+09 7.675099999989999924e+05
5.738000000000000045e-03 2.019699999999999968e-02 2.019699999999999968e-02 9.821920304772340775e+09 5.415131637108252525e+09 4.406788667664088249e+09 2.770313200000099838e+07
5.738000000000000045e-03 2.019699999999999968e-02 2.516699999999999840e-02 8.518744240931625366e+09 4.111955573267537117e+09 4.406788667664088249e+09 2.027535799999399856e+07
5.738000000000000045e-03 2.019699999999999968e-02 3.013700000000000059e-02 -1.655141232127830887e+10 -2.095820098894239807e+10 4.406788667664088249e+09 1.163545999994999962e+06
5.738000000000000045e-03 2.516699999999999840e-02 2.516699999999999840e-02 1.517976539475101852e+10 1.077297672708692932e+10 4.406788667664088249e+09 4.388790400000499934e+07
5.738000000000000045e-03 2.516699999999999840e-02 3.013700000000000059e-02 7.469400436915753365e+09 3.062611769251665115e+09 4.406788667664088249e+09 3.036693399999200180e+07
5.738000000000000045e-03 2.516699999999999840e-02 3.511100000000000332e-02 9.634242141809667587e+09 5.227453474145579338e+09 4.406788667664088249e+09 1.782557999996999977e+06
5.738000000000000045e-03 3.013700000000000059e-02 3.013700000000000059e-02 7.643199454770986557e+09 3.236410787106898308e+09 4.406788667664088249e+09 6.207773999999500066e+07
5.738000000000000045e-03 3.013700000000000059e-02 3.511100000000000332e-02 7.677460688987724304e+09 3.270672021323636055e+09 4.406788667664088249e+09 4.237258600001999736e+07
5.738000000000000045e-03 3.013700000000000059e-02 4.009599999999999970e-02 -1.166718510212863445e+09 -5.573507177876951218e+09 4.406788667664088249e+09 2.352302000000000000e+06
5.738000000000000045e-03 3.511100000000000332e-02 3.511100000000000332e-02 4.315163377068088531e+09 -9.162529059599971771e+07 4.406788667664088249e+09 8.537541999995000660e+07
5.738000000000000045e-03 3.511100000000000332e-02 4.009599999999999970e-02 7.196203336806394577e+09 2.789414669142306328e+09 4.406788667664088249e+09 5.651454199999299645e+07
5.738000000000000045e-03 3.511100000000000332e-02 4.509300000000000114e-02 2.625076983438316345e+10 2.184398116671907425e+10 4.406788667664088249e+09 3.129169999993999954e+06
5.738000000000000045e-03 4.009599999999999970e-02 4.009599999999999970e-02 1.878755399748992538e+10 1.438076532982583618e+10 4.406788667664088249e+09 1.109553759999579936e+08
5.738000000000000045e-03 4.009599999999999970e-02 4.509300000000000114e-02 9.823538201753862381e+09 5.416749534089774132e+09 4.406788667664088249e+09 7.270165399996599555e+07
5.738000000000000045e-03 4.009599999999999970e-02 5.009299999999999864e-02 1.304367250536384964e+10 8.636883837699760437e+09 4.406788667664088249e+09 3.828517999993999954e+06
5.738000000000000045e-03 4.509300000000000114e-02 4.509300000000000114e-02 1.040428588584087944e+10 5.997497218176791191e+09 4.406788667664088249e+09 1.420475319999679923e+08
5.738000000000000045e-03 4.509300000000000114e-02 5.009299999999999864e-02 4.575498044395356178e+09 1.687093767312679291e+08 4.406788667664088249e+09 9.091536200002799928e+07
5.738000000000000045e-03 4.509300000000000114e-02 5.507800000000000196e-02 1.128639062042399979e+10 6.879601952759911537e+09 4.406788667664088249e+09 4.879142000001999550e+06
5.738000000000000045e-03 5.009299999999999864e-02 5.009299999999999864e-02 9.025471057826086044e+09 4.618682390161997795e+09 4.406788667664088249e+09 1.737391479999170005e+08
5.738000000000000045e-03 5.009299999999999864e-02 5.507800000000000196e-02 9.005041504222457886e+09 4.598252836558369637e+09 4.406788667664088249e+09 1.108803980000270009e+08
5.738000000000000045e-03 5.009299999999999864e-02 6.006700000000000234e-02 2.084996682683843613e+10 1.644317815917434692e+10 4.406788667664088249e+09 5.961026000006999820e+06
5.738000000000000045e-03 5.507800000000000196e-02 5.507800000000000196e-02 2.168345676689692307e+10 1.727666809923283386e+10 4.406788667664088249e+09 2.096246080000340044e+08
5.738000000000000045e-03 5.507800000000000196e-02 6.006700000000000234e-02 1.551159119817522430e+10 1.110480253051113510e+10 4.406788667664088249e+09 1.330189579999240041e+08
5.738000000000000045e-03 5.507800000000000196e-02 6.505900000000000571e-02 2.124864738090621567e+10 1.684185871324212646e+10 4.406788667664088249e+09 7.004677999987999909e+06
5.738000000000000045e-03 6.006700000000000234e-02 6.006700000000000234e-02 1.504863986045108414e+10 1.064185119278699493e+10 4.406788667664088249e+09 2.503614520000190139e+08
5.738000000000000045e-03 6.006700000000000234e-02 6.505900000000000571e-02 8.603924429816646576e+09 4.197135762152558327e+09 4.406788667664088249e+09 1.572238820001460016e+08
5.738000000000000045e-03 6.006700000000000234e-02 7.005400000000000515e-02 1.753441072991144943e+10 1.312762206224736023e+10 4.406788667664088249e+09 8.267438000016000122e+06
5.738000000000000045e-03 6.505900000000000571e-02 6.505900000000000571e-02 1.579407592706557846e+10 1.138728725940148926e+10 4.406788667664088249e+09 2.932706199998940229e+08
5.738000000000000045e-03 6.505900000000000571e-02 7.005400000000000515e-02 1.002006529410998154e+10 5.613276626445893288e+09 4.406788667664088249e+09 1.834116860000059903e+08
5.738000000000000045e-03 6.505900000000000571e-02 7.505299999999999472e-02 9.049699066905115128e+09 4.642910399241026878e+09 4.406788667664088249e+09 9.497786000004999340e+06
5.738000000000000045e-03 7.005400000000000515e-02 7.005400000000000515e-02 2.174249026791333008e+10 1.733570160024924088e+10 4.406788667664088249e+09 3.412611999999690056e+08
5.738000000000000045e-03 7.005400000000000515e-02 7.505299999999999472e-02 7.369743421654906273e+09 2.962954753990818024e+09 4.406788667664088249e+09 2.117465419999589920e+08
5.738000000000000045e-03 7.005400000000000515e-02 8.005400000000000016e-02 7.459728776606897354e+09 3.052940108942809105e+09 4.406788667664088249e+09 1.091835800001999922e+07
5.738000000000000045e-03 7.505299999999999472e-02 7.505299999999999472e-02 1.612579315699098969e+10 1.171900448932690048e+10 4.406788667664088249e+09 3.916203159998850226e+08
5.738000000000000045e-03 7.505299999999999472e-02 8.005400000000000016e-02 4.785970826285881996e+09 3.791821586217937469e+08 4.406788667664088249e+09 2.420048419997769892e+08
5.738000000000000045e-03 8.005400000000000016e-02 8.005400000000000016e-02 1.871752767854626465e+10 1.431073901088217545e+10 4.406788667664088249e+09 4.460734839999700189e+08
1.037300000000000028e-02 1.037300000000000028e-02 1.037300000000000028e-02 2.545347539704780197e+10 2.104668672938371277e+10 4.406788667664088249e+09 1.445963999999899976e+07
1.037300000000000028e-02 1.037300000000000028e-02 1.525999999999999926e-02 4.006946740111781311e+10 3.566267873345372772e+10 4.406788667664088249e+09 2.144371999999900162e+07
1.037300000000000028e-02 1.037300000000000028e-02 2.019699999999999968e-02 9.514006455384023666e+09 5.107217787719935417e+09 4.406788667664088249e+09 1.563439999999899976e+07
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 -1.874448456032595825e+10 -2.315127322799004745e+10 4.406788667664088249e+09 9.196639999979999848e+05
1.037300000000000028e-02 1.525999999999999926e-02 1.525999999999999926e-02 3.396819148066567183e+08 -4.067106752857431412e+09 4.406788667664088249e+09 3.290054399999700114e+07
1.037300000000000028e-02 1.525999999999999926e-02 2.019699999999999968e-02 1.818563174646659088e+10 1.377884307880250168e+10 4.406788667664088249e+09 4.281651799999099970e+07
1.037300000000000028e-02 1.525999999999999926e-02 2.516699999999999840e-02 5.418686411019153595e+09 1.011897743355065346e+09 4.406788667664088249e+09 2.934240800002200156e+07
1.037300000000000028e-02 1.525999999999999926e-02 3.013700000000000059e-02 4.933877206494663239e+10 4.493198339728254700e+10 4.406788667664088249e+09 1.602685999997999985e+06
1.037300000000000028e-02 2.019699999999999968e-02 2.019699999999999968e-02 -2.760587774223242283e+09 -7.167376441887331009e+09 4.406788667664088249e+09 5.770200000000999868e+07
1.037300000000000028e-02 2.019699999999999968e-02 2.516699999999999840e-02 1.149806069588391876e+10 7.091272028219830513e+09 4.406788667664088249e+09 7.137718399998900294e+07
1.037300000000000028e-02 2.019699999999999968e-02 3.013700000000000059e-02 -9.391682133801248074e+08 -5.345956881044213295e+09 4.406788667664088249e+09 4.601150200002299994e+07
1.037300000000000028e-02 2.019699999999999968e-02 3.511100000000000332e-02 1.728982536421807480e+10 1.288303669655398560e+10 4.406788667664088249e+09 2.479973999997000210e+06
1.037300000000000028e-02 2.516699999999999840e-02 2.516699999999999840e-02 1.889658955663493347e+10 1.448980088897084427e+10 4.406788667664088249e+09 9.148996800004200637e+07
1.037300000000000028e-02 2.516699999999999840e-02 3.013700000000000059e-02 1.340417149571603394e+10 8.997382828051944733e+09 4.406788667664088249e+09 1.068541679999759942e+08
1.037300000000000028e-02 2.516699999999999840e-02 3.511100000000000332e-02 1.712648616657938576e+10 1.271969749891529846e+10 4.406788667664088249e+09 6.803169599996399879e+07
1.037300000000000028e-02 2.516699999999999840e-02 4.009599999999999970e-02 -3.495770659378211021e+09 -7.902559327042299271e+09 4.406788667664088249e+09 3.597791999989999924e+06
1.037300000000000028e-02 3.013700000000000059e-02 3.013700000000000059e-02 9.958676903565931320e+09 5.551888235901843071e+09 4.406788667664088249e+09 1.292648159999350011e+08
1.037300000000000028e-02 3.013700000000000059e-02 3.511100000000000332e-02 4.796108911183928490e+09 3.893202435198402405e+08 4.406788667664088249e+09 1.490323500000559986e+08
1.037300000000000028e-02 3.013700000000000059e-02 4.009599999999999970e-02 5.394419905650904655e+09 9.876312379868164062e+08 4.406788667664088249e+09 9.202727200002899766e+07
1.037300000000000028e-02 3.013700000000000059e-02 4.509300000000000114e-02 2.756672863075609589e+10 2.315993996309200668e+10 4.406788667664088249e+09 4.731566000004000030e+06
1.037300000000000028e-02 3.511100000000000332e-02 3.511100000000000332e-02 1.160482705575122261e+10 7.198038388087134361e+09 4.406788667664088249e+09 1.779023760000280142e+08
1.037300000000000028e-02 3.511100000000000332e-02 4.009599999999999970e-02 1.177111052376685524e+10 7.364321856102766991e+09 4.406788667664088249e+09 1.992174799999009967e+08
1.037300000000000028e-02 3.511100000000000332e-02 4.509300000000000114e-02 1.445325316798098946e+10 1.004646450031690216e+10 4.406788667664088249e+09 1.214817260000170022e+08
1.037300000000000028e-02 3.511100000000000332e-02 5.009299999999999864e-02 1.756437600227293396e+10 1.315758733460884476e+10 4.406788667664088249e+09 5.993317999977000058e+06
1.037300000000000028e-02 4.009599999999999970e-02 4.009599999999999970e-02 1.526420853418733978e+10 1.085741986652325058e+10 4.406788667664088249e+09 2.311685040000909865e+08
1.037300000000000028e-02 4.009599999999999970e-02 4.509300000000000114e-02 1.104515708182840157e+10 6.638368414164313316e+09 4.406788667664088249e+09 2.569580239999609888e+08
1.037300000000000028e-02 4.009599999999999970e-02 5.009299999999999864e-02 1.174400980776198959e+10 7.337221140097901344e+09 4.406788667664088249e+09 1.525486159999539852e+08
1.037300000000000028e-02 4.009599999999999970e-02 5.507800000000000196e-02 -4.465549266029139519e+09 -8.872337933693227768e+09 4.406788667664088249e+09 7.492952000021999702e+06
1.037300000000000028e-02 4.509300000000000114e-02 4.509300000000000114e-02 8.973208998408626556e+09 4.566420330744538307e+09 4.406788667664088249e+09 2.961515760000680089e+08
1.037300000000000028e-02 4.509300000000000114e-02 5.009299999999999864e-02 7.704947902691283226e+09 3.298159235027194977e+09 4.406788667664088249e+09 3.215185820000479817e+08
1.037300000000000028e-02 4.509300000000000114e-02 5.507800000000000196e-02 1.035286360556849098e+10 5.946074937904402733e+09 4.406788667664088249e+09 1.903331840000190139e+08
1.037300000000000028e-02 4.509300000000000114e-02 6.006700000000000234e-02 1.833363738356355286e+10 1.392684871589946365e+10 4.406788667664088249e+09 9.531542000029999763e+06
1.037300000000000028e-02 5.009299999999999864e-02 5.009299999999999864e-02 1.051948606315903282e+10 6.112697395494944572e+09 4.406788667664088249e+09 3.620040719998679757e+08
1.037300000000000028e-02 5.009299999999999864e-02 5.507800000000000196e-02 1.376183484645780563e+10 9.355046178793716431e+09 4.406788667664088249e+09 3.906553280000119805e+08
1.037300000000000028e-02 5.009299999999999864e-02 6.006700000000000234e-02 1.310994756057073402e+10 8.703158892906646729e+09 4.406788667664088249e+09 2.308407019999240041e+08
1.037300000000000028e-02 5.009299999999999864e-02 6.505900000000000571e-02 2.477379683945766830e+10 2.036700817179357910e+10 4.406788667664088249e+09 1.142022200000399910e+07
1.037300000000000028e-02 5.507800000000000196e-02 5.507800000000000196e-02 9.128510842690242767e+09 4.721722175026154518e+09 4.406788667664088249e+09 4.366988640000119805e+08
1.037300000000000028e-02 5.507800000000000196e-02 6.006700000000000234e-02 9.674988819233104706e+09 5.268200151569016457e+09 4.406788667664088249e+09 4.689544640001140237e+08
1.037300000000000028e-02 5.507800000000000196e-02 6.505900000000000571e-02 8.466468997104905128e+09 4.059680329440816879e+09 4.406788667664088249e+09 2.739778400001270175e+08
1.037300000000000028e-02 5.507800000000000196e-02 7.005400000000000515e-02 1.970085520361412525e+09 -2.436703147302675724e+09 4.406788667664088249e+09 1.341864799999799952e+07
1.037300000000000028e-02 6.006700000000000234e-02 6.006700000000000234e-02 9.449810901373790741e+09 5.043022233709702492e+09 4.406788667664088249e+09 5.217199199998700023e+08
