# Bispectrum monopole for SGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.785000000000000211e-03 5.785000000000000211e-03 5.785000000000000211e-03 2.408658190003699493e+10 2.424598927999729919e+10 1.046900246248031769e+11 1.047590708078492737e+11
5.785000000000000211e-03 5.785000000000000211e-03 1.042599999999999950e-02 2.253150527024756622e+10 2.251715699306011581e+10 5.892958456242287445e+10 5.890188946925225830e+10
5.785000000000000211e-03 5.785000000000000211e-03 1.528299999999999971e-02 1.394625326463055420e+10 1.382867079786413193e+10 1.054551175463260956e+11 1.054679941074817047e+11
5.785000000000000211e-03 1.042599999999999950e-02 1.042599999999999950e-02 1.752857501445093536e+10 1.753907016340137863e+10 3.570029334039241028e+10 3.568399998647401428e+10
5.785000000000000211e-03 1.042599999999999950e-02 1.528299999999999971e-02 1.981931530048682404e+10 1.981553227069927597e+10 2.708571312681397629e+10 2.707244473537253952e+10
5.785000000000000211e-03 1.042599999999999950e-02 2.021500000000000033e-02 1.725108047198912430e+10 1.723831392480709457e+10 5.195293101405129242e+10 5.192854335572496033e+10
5.785000000000000211e-03 1.528299999999999971e-02 1.528299999999999971e-02 1.997011176886568832e+10 1.992334923748705673e+10 2.661268432219328690e+10 2.664046121474357605e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.021500000000000033e-02 2.046080421411170959e+10 2.044049440587609100e+10 2.068796716191040421e+10 2.068760278964142990e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.516799999999999940e-02 1.587281416182229614e+10 1.590612718106912422e+10 3.873204292388117218e+10 3.872702201089221954e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.021500000000000033e-02 2.076622403050767517e+10 2.073214871355655289e+10 2.197024097126759720e+10 2.198568639551261520e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.516799999999999940e-02 2.017641328420121765e+10 2.015429553087654114e+10 1.740649907950542068e+10 1.741185577961969376e+10
5.785000000000000211e-03 2.021500000000000033e-02 3.012099999999999847e-02 1.701696026193693542e+10 1.697582734967399406e+10 3.030780448447706985e+10 3.032057525465530777e+10
5.785000000000000211e-03 2.516799999999999940e-02 2.516799999999999940e-02 1.929488794430042648e+10 1.929034954703546906e+10 1.866295094793110275e+10 1.865417854943799591e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.012099999999999847e-02 1.922578571950291824e+10 1.921529041671072388e+10 1.538139897798594475e+10 1.537729608277249908e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.511199999999999738e-02 1.696179960653382111e+10 1.699022433901299667e+10 2.476506004870847321e+10 2.476900218274721146e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.012099999999999847e-02 1.895469775745164490e+10 1.894441414323045349e+10 1.672421273196546555e+10 1.671901983831150627e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.511199999999999738e-02 1.857274031438330078e+10 1.857177712816861725e+10 1.361049508406347466e+10 1.360372903453618622e+10
5.785000000000000211e-03 3.012099999999999847e-02 4.010899999999999882e-02 1.542700431960148239e+10 1.543982675490010452e+10 2.082482594860308075e+10 2.081837050542009735e+10
5.785000000000000211e-03 3.511199999999999738e-02 3.511199999999999738e-02 1.757111367058976364e+10 1.756429689638215256e+10 1.539057567140811539e+10 1.538439646920301247e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.010899999999999882e-02 1.746721894154794312e+10 1.745185324225176239e+10 1.223490148948403740e+10 1.223843845844121170e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.509300000000000114e-02 1.518917199701961517e+10 1.520904369644482040e+10 1.845594893354231262e+10 1.845742814441650009e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.010899999999999882e-02 1.664076298309881020e+10 1.661868055765275192e+10 1.426089859309236145e+10 1.427086865391944695e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.509300000000000114e-02 1.708108371703078651e+10 1.706971767832970238e+10 1.123351036426401520e+10 1.123364928464329910e+10
5.785000000000000211e-03 4.010899999999999882e-02 5.008300000000000252e-02 1.385392570172160530e+10 1.384038917914832687e+10 1.642124807187586021e+10 1.641862471954414368e+10
5.785000000000000211e-03 4.509300000000000114e-02 4.509300000000000114e-02 1.613001383029741669e+10 1.612071767150577164e+10 1.311028827750033569e+10 1.310703510854662132e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.008300000000000252e-02 1.646088352175034904e+10 1.644185441742386055e+10 1.061422521189092827e+10 1.062597451684260941e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.508300000000000002e-02 1.302307960433670616e+10 1.300705047643361282e+10 1.432480418381933403e+10 1.432661693583717918e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.008300000000000252e-02 1.578540190973756599e+10 1.576783750645694542e+10 1.244229007231906319e+10 1.244847117440597916e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.508300000000000002e-02 1.569392304739194679e+10 1.567681414803106880e+10 1.032397855013559341e+10 1.033299421687402916e+10
5.785000000000000211e-03 5.008300000000000252e-02 6.007599999999999746e-02 1.250090364333320999e+10 1.250232929866777611e+10 1.452068481331993866e+10 1.451349993258389664e+10
5.785000000000000211e-03 5.508300000000000002e-02 5.508300000000000002e-02 1.507895066520705605e+10 1.505828413476023102e+10 1.236721400232131386e+10 1.237829925607430649e+10
5.785000000000000211e-03 5.508300000000000002e-02 6.007599999999999746e-02 1.551557692032520294e+10 1.550175910353053093e+10 9.887262901518455505e+09 9.891978540076707840e+09
5.785000000000000211e-03 5.508300000000000002e-02 6.506599999999999884e-02 1.310600578575378609e+10 1.310849997038542366e+10 1.269617538976195335e+10 1.269007717261339951e+10
5.785000000000000211e-03 6.007599999999999746e-02 6.007599999999999746e-02 1.506071563881955147e+10 1.504706637771927071e+10 1.172998322050578690e+10 1.173206519035027313e+10
5.785000000000000211e-03 6.007599999999999746e-02 6.506599999999999884e-02 1.536597658514104080e+10 1.535204735623244286e+10 9.707809591635179520e+09 9.712952335195741653e+09
5.785000000000000211e-03 6.007599999999999746e-02 7.006400000000000128e-02 1.278858340483127594e+10 1.279289222151333046e+10 1.179432858155860519e+10 1.178922327261213875e+10
5.785000000000000211e-03 6.506599999999999884e-02 6.506599999999999884e-02 1.478878868447564507e+10 1.476791820846006775e+10 1.177425707213195610e+10 1.178686606926542282e+10
5.785000000000000211e-03 6.506599999999999884e-02 7.006400000000000128e-02 1.506328788436867523e+10 1.504907245633726883e+10 9.771660005545913696e+09 9.777117556252819061e+09
5.785000000000000211e-03 6.506599999999999884e-02 7.506100000000000272e-02 1.236402349939813423e+10 1.235466666889254570e+10 1.131056429910932732e+10 1.130878481436870766e+10
5.785000000000000211e-03 7.006400000000000128e-02 7.006400000000000128e-02 1.438830875589676476e+10 1.437235107529301643e+10 1.126119252253684044e+10 1.126687253991232109e+10
5.785000000000000211e-03 7.006400000000000128e-02 7.506100000000000272e-02 1.485312758827288055e+10 1.483708390309263420e+10 9.273854319384342194e+09 9.283095136636528015e+09
5.785000000000000211e-03 7.006400000000000128e-02 8.005600000000000216e-02 1.241180102030991554e+10 1.240281328467490387e+10 1.039784490554920769e+10 1.039653552392295837e+10
5.785000000000000211e-03 7.506100000000000272e-02 7.506100000000000272e-02 1.421922619588570976e+10 1.420298084259207153e+10 1.092613921270318031e+10 1.093275666710672569e+10
5.785000000000000211e-03 7.506100000000000272e-02 8.005600000000000216e-02 1.440887032873306274e+10 1.439261272398601532e+10 9.043648626222888947e+09 9.053738692501247406e+09
5.785000000000000211e-03 8.005600000000000216e-02 8.005600000000000216e-02 1.396809088990654945e+10 1.394989967543845749e+10 1.090460217843495560e+10 1.091432441320302391e+10
1.042599999999999950e-02 1.042599999999999950e-02 1.042599999999999950e-02 1.353733698489888000e+10 1.354852167800103760e+10 4.157163618021882629e+10 4.155237126326278687e+10
1.042599999999999950e-02 1.042599999999999950e-02 1.528299999999999971e-02 1.414843854055175972e+10 1.415592885716263199e+10 2.124607376329459381e+10 2.123677966389057159e+10
1.042599999999999950e-02 1.042599999999999950e-02 2.021500000000000033e-02 1.499837403688888931e+10 1.497473756638231659e+10 2.443695521559862900e+10 2.443618003565991211e+10
1.042599999999999950e-02 1.042599999999999950e-02 2.516799999999999940e-02 1.477505973618448830e+10 1.477937069403305244e+10 4.887522321631721497e+10 4.885099413276051331e+10
1.042599999999999950e-02 1.528299999999999971e-02 1.528299999999999971e-02 1.522896782354795647e+10 1.519552810770097923e+10 1.800598806280138779e+10 1.802803175610884857e+10
1.042599999999999950e-02 1.528299999999999971e-02 2.021500000000000033e-02 1.453003536180231094e+10 1.454259768883504868e+10 1.090864003081997108e+10 1.091042436547319221e+10
1.042599999999999950e-02 1.528299999999999971e-02 2.516799999999999940e-02 1.530114962956460953e+10 1.532148506055728531e+10 1.287691899848482704e+10 1.288654039118712807e+10
1.042599999999999950e-02 1.528299999999999971e-02 3.012099999999999847e-02 1.523896390877278328e+10 1.526362555064813805e+10 2.870416715560602188e+10 2.870042338661520386e+10
1.042599999999999950e-02 2.021500000000000033e-02 2.021500000000000033e-02 1.429859404625694656e+10 1.429553389249828339e+10 1.240413336781768990e+10 1.239831360838417625e+10
1.042599999999999950e-02 2.021500000000000033e-02 2.516799999999999940e-02 1.433800299088829231e+10 1.434792654477058029e+10 8.079091489747634888e+09 8.081150271377234459e+09
1.042599999999999950e-02 2.021500000000000033e-02 3.012099999999999847e-02 1.522672103507405853e+10 1.522614111362403107e+10 9.839749021269624710e+09 9.834849931422439575e+09
