# Bispectrum monopole for SGC EZmock_complete
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.785000000000000211e-03 5.785000000000000211e-03 5.785000000000000211e-03 -3.801378628279898643e+09 -9.399984741347539902e+09 1.288278914232531586e+11 1.288285845987918396e+11
5.785000000000000211e-03 5.785000000000000211e-03 1.042599999999999950e-02 1.155113848359550095e+10 5.952532370527833939e+09 7.093546175441812134e+10 7.093423087407835388e+10
5.785000000000000211e-03 5.785000000000000211e-03 1.528299999999999971e-02 1.982175542280324173e+10 1.422314930973558235e+10 1.171546950685914917e+11 1.171532799354252777e+11
5.785000000000000211e-03 1.042599999999999950e-02 1.042599999999999950e-02 5.844534010783993721e+09 2.459278977163515985e+08 4.232252905953421021e+10 4.232221897387968445e+10
5.785000000000000211e-03 1.042599999999999950e-02 1.528299999999999971e-02 1.448946202576995468e+10 8.890855912702312469e+09 3.154897226698667526e+10 3.154771901457138824e+10
5.785000000000000211e-03 1.042599999999999950e-02 2.021500000000000033e-02 2.024052862907772827e+10 1.464192251601008797e+10 5.565012364114463043e+10 5.564958331947288513e+10
5.785000000000000211e-03 1.528299999999999971e-02 1.528299999999999971e-02 9.253178953617675781e+09 3.654572840550022602e+09 3.111745356860476685e+10 3.111732594058982849e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.021500000000000033e-02 1.472863155533254242e+10 9.130025442264905930e+09 2.408622069427251053e+10 2.408548943384019089e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.516799999999999940e-02 2.115656493292592621e+10 1.555795881985823059e+10 4.296880361468852997e+10 4.296797723761012268e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.021500000000000033e-02 9.044417340103113174e+09 3.445811227035456657e+09 2.619452242961597824e+10 2.619495947008070755e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.516799999999999940e-02 1.411791972582530594e+10 8.519313612757643700e+09 2.066883296451483154e+10 2.066778126541255951e+10
5.785000000000000211e-03 2.021500000000000033e-02 3.012099999999999847e-02 1.724254607816288376e+10 1.164393996509525871e+10 3.362905103244932175e+10 3.362986457968081665e+10
5.785000000000000211e-03 2.516799999999999940e-02 2.516799999999999940e-02 8.503859778094387054e+09 2.905253665026731968e+09 2.211497435646498871e+10 2.211548096195881271e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.012099999999999847e-02 1.314531277028993225e+10 7.546706657222278595e+09 1.808973291445651245e+10 1.808920618881776047e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.511199999999999738e-02 1.741353082211103058e+10 1.181492470904335213e+10 2.804307302996083069e+10 2.804280098365728378e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.012099999999999847e-02 8.258314091036496162e+09 2.659707977968839645e+09 2.036466112474534988e+10 2.036345613539880371e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.511199999999999738e-02 1.302047056683683014e+10 7.421864453769186974e+09 1.627104845936429787e+10 1.627032207256318283e+10
5.785000000000000211e-03 3.012099999999999847e-02 4.010899999999999882e-02 1.513824534769887161e+10 9.539639234631217957e+09 2.326340141304216003e+10 2.326392416974670410e+10
5.785000000000000211e-03 3.511199999999999738e-02 3.511199999999999738e-02 7.362099226889892578e+09 1.763493113822235107e+09 1.879585501177319717e+10 1.879507947171539307e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.010899999999999882e-02 1.211938325821860695e+10 6.520777145150936127e+09 1.432585372022500992e+10 1.432549408723362350e+10
