# Bispectrum monopole for SGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.785000000000000211e-03 5.785000000000000211e-03 5.785000000000000211e-03 2.408658190003699493e+10 1.827597803770367813e+10 1.046900246248031769e+11 1.046902100357202759e+11
5.785000000000000211e-03 5.785000000000000211e-03 1.042599999999999950e-02 2.253150527024756622e+10 1.672090140791430092e+10 5.892958456242287445e+10 5.893033806435756683e+10
5.785000000000000211e-03 5.785000000000000211e-03 1.528299999999999971e-02 1.394625326463055420e+10 8.135649402297245979e+09 1.054551175463260956e+11 1.054548094941790314e+11
5.785000000000000211e-03 1.042599999999999950e-02 1.042599999999999950e-02 1.752857501445093536e+10 1.171797115211766434e+10 3.570029334039241028e+10 3.569977562065927124e+10
5.785000000000000211e-03 1.042599999999999950e-02 1.528299999999999971e-02 1.981931530048682404e+10 1.400871143815356064e+10 2.708571312681397629e+10 2.708546306139081573e+10
5.785000000000000211e-03 1.042599999999999950e-02 2.021500000000000033e-02 1.725108047198912430e+10 1.144047660965582657e+10 5.195293101405129242e+10 5.195419712050675201e+10
5.785000000000000211e-03 1.528299999999999971e-02 1.528299999999999971e-02 1.997011176886568832e+10 1.415950790653243256e+10 2.661268432219328690e+10 2.661183691550488281e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.021500000000000033e-02 2.046080421411170959e+10 1.465020035177840805e+10 2.068796716191040421e+10 2.068751993250866699e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.516799999999999940e-02 1.587281416182229614e+10 1.006221029948900414e+10 3.873204292388117218e+10 3.873247573353147125e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.021500000000000033e-02 2.076622403050767517e+10 1.495562016817437744e+10 2.197024097126759720e+10 2.197043452975134277e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.516799999999999940e-02 2.017641328420121765e+10 1.436580942186791611e+10 1.740649907950542068e+10 1.740651751983540344e+10
5.785000000000000211e-03 2.021500000000000033e-02 3.012099999999999847e-02 1.701696026193693542e+10 1.120635639960365105e+10 3.030780448447706985e+10 3.030867304030160904e+10
