# Bispectrum monopole for SGC EZmock_shuffled
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.785000000000000211e-03 5.785000000000000211e-03 5.785000000000000211e-03 4.229580280565854073e+09 -1.369000127832177639e+09 1.167031269471249084e+11 1.167023173573722687e+11
5.785000000000000211e-03 5.785000000000000211e-03 1.042599999999999950e-02 1.078040757463388634e+10 5.181827166235869408e+09 6.685881421638732147e+10 6.685717329557501221e+10
5.785000000000000211e-03 5.785000000000000211e-03 1.528299999999999971e-02 1.325571644546693039e+10 7.657136037068903923e+09 1.125014683068716583e+11 1.125004549377655182e+11
5.785000000000000211e-03 1.042599999999999950e-02 1.042599999999999950e-02 7.962568250550405502e+09 2.363987842152358532e+09 3.924598158155565643e+10 3.924546902992650604e+10
5.785000000000000211e-03 1.042599999999999950e-02 1.528299999999999971e-02 1.362825838698972130e+10 8.029677978591682434e+09 3.074168646006138611e+10 3.074029196198335266e+10
5.785000000000000211e-03 1.042599999999999950e-02 2.021500000000000033e-02 1.677697247692693901e+10 1.117839206852887726e+10 5.420127763359215546e+10 5.420063428038585663e+10
5.785000000000000211e-03 1.528299999999999971e-02 1.528299999999999971e-02 1.080388078901394653e+10 5.205300380615911484e+09 3.008938865713066101e+10 3.008897831888168716e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.021500000000000033e-02 1.420522335096762466e+10 8.606642942569570541e+09 2.342663504356735992e+10 2.342577190693862152e+10
5.785000000000000211e-03 1.528299999999999971e-02 2.516799999999999940e-02 1.845669391038652039e+10 1.285811350198848724e+10 4.315305492087628174e+10 4.315262067748729706e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.021500000000000033e-02 1.082005721756474686e+10 5.221476809166698456e+09 2.518182668585601807e+10 2.518213754286646652e+10
5.785000000000000211e-03 2.021500000000000033e-02 2.516799999999999940e-02 1.385233486659431839e+10 8.253754458196269989e+09 1.999317301357990646e+10 1.999233098902834702e+10
5.785000000000000211e-03 2.021500000000000033e-02 3.012099999999999847e-02 1.510042919105410194e+10 9.501848782656034470e+09 3.345172048882995224e+10 3.345189530468044662e+10
5.785000000000000211e-03 2.516799999999999940e-02 2.516799999999999940e-02 1.039483845346278954e+10 4.796258045064748764e+09 2.129734683339853668e+10 2.129741314690927124e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.012099999999999847e-02 1.250553161485340881e+10 6.906951206455360413e+09 1.733169491198513031e+10 1.733150111599988937e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.511199999999999738e-02 1.484290734935513878e+10 9.244326940957109451e+09 2.694868715355715561e+10 2.694879979721318817e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.012099999999999847e-02 9.337096077136726379e+09 3.738515668738685131e+09 1.943760569418828583e+10 1.943630669134958267e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.511199999999999738e-02 1.194121130258239937e+10 6.342630894184370995e+09 1.569004676409567451e+10 1.568921111623445702e+10
5.785000000000000211e-03 3.012099999999999847e-02 4.010899999999999882e-02 1.306765262422015953e+10 7.469072215822132111e+09 2.341708924392755127e+10 2.341745416801651382e+10
5.785000000000000211e-03 3.511199999999999738e-02 3.511199999999999738e-02 8.576931639188924789e+09 2.978351230790878773e+09 1.777769037260855484e+10 1.777668594897941208e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.010899999999999882e-02 1.128315817176133919e+10 5.684577763363304138e+09 1.385704077911416626e+10 1.385602977229509354e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.509300000000000114e-02 1.359394407342647934e+10 7.995363665028441429e+09 2.005139266727491379e+10 2.005154887366660309e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.010899999999999882e-02 8.435940547441181183e+09 2.837360139043144703e+09 1.624579025890912437e+10 1.624529163397257614e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.509300000000000114e-02 1.074937196198997307e+10 5.150791553591925621e+09 1.312667194981942177e+10 1.312626813988822556e+10
5.785000000000000211e-03 4.010899999999999882e-02 5.008300000000000252e-02 1.276824344709439468e+10 7.169663038696312904e+09 1.736253581341028214e+10 1.736112057419770813e+10
5.785000000000000211e-03 4.509300000000000114e-02 4.509300000000000114e-02 8.395833072454790115e+09 2.797252664056746006e+09 1.535418354752495193e+10 1.535259777411539459e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.008300000000000252e-02 1.080322111545342255e+10 5.204640707055363655e+09 1.233816025268292427e+10 1.233660870537755775e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.508300000000000002e-02 1.173068983410101128e+10 6.132109425702980995e+09 1.550353781826520538e+10 1.550178177859087563e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.008300000000000252e-02 8.354019912889655113e+09 2.755439504491611004e+09 1.476634369778194618e+10 1.476474701718838501e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.508300000000000002e-02 1.036318452635943985e+10 4.764604117961401939e+09 1.159667506328827858e+10 1.159562511368670845e+10
5.785000000000000211e-03 5.008300000000000252e-02 6.007599999999999746e-02 1.184054664898972321e+10 6.241966240591686249e+09 1.476795204648752022e+10 1.476949761163463020e+10
5.785000000000000211e-03 5.508300000000000002e-02 5.508300000000000002e-02 7.732750278587358475e+09 2.134169870189311028e+09 1.447146076059670448e+10 1.447109950287601280e+10
5.785000000000000211e-03 5.508300000000000002e-02 6.007599999999999746e-02 9.817220479656679153e+09 4.218640071258638382e+09 1.146354400806867981e+10 1.146290457729312134e+10
