# Bispectrum monopole for SGC data
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  BSN  N_tr
5.785000000000000211e-03 5.785000000000000211e-03 5.785000000000000211e-03 5.126066463272911835e+10 4.547757967828098297e+10 5.783084954448138237e+09 1.279602000000000000e+06
5.785000000000000211e-03 5.785000000000000211e-03 1.042599999999999950e-02 -9.577318172035854340e+09 -1.536040312648399353e+10 5.783084954448138237e+09 1.649546000000000000e+06
5.785000000000000211e-03 5.785000000000000211e-03 1.528299999999999971e-02 1.443186382473815613e+11 1.385355532929334106e+11 5.783084954448138237e+09 1.346780000000000000e+05
5.785000000000000211e-03 1.042599999999999950e-02 1.042599999999999950e-02 1.484777602448467255e+10 9.064691070036533356e+09 5.783084954448138237e+09 5.389684000000000000e+06
5.785000000000000211e-03 1.042599999999999950e-02 1.528299999999999971e-02 5.903094592566541290e+10 5.324786097121727753e+10 5.783084954448138237e+09 4.780802000000000000e+06
5.785000000000000211e-03 1.042599999999999950e-02 2.021500000000000033e-02 5.201543106247804260e+10 4.623234610802990723e+10 5.783084954448138237e+09 3.502939999989999924e+05
5.785000000000000211e-03 1.528299999999999971e-02 1.528299999999999971e-02 3.829330580618492126e+10 3.251022085173678207e+10 5.783084954448138237e+09 1.178760399999899976e+07
5.785000000000000211e-03 1.528299999999999971e-02 2.021500000000000033e-02 4.444513557169579315e+10 3.866205061724765778e+10 5.783084954448138237e+09 9.423194000000000000e+06
5.785000000000000211e-03 1.528299999999999971e-02 2.516799999999999940e-02 7.455073407525163269e+10 6.876764912080349731e+10 5.783084954448138237e+09 5.930300000000000000e+05
5.785000000000000211e-03 2.021500000000000033e-02 2.021500000000000033e-02 3.207293855245776749e+10 2.628985359800962830e+10 5.783084954448138237e+09 2.139821200000000000e+07
5.785000000000000211e-03 2.021500000000000033e-02 2.516799999999999940e-02 2.921271953594499207e+10 2.342963458149685287e+10 5.783084954448138237e+09 1.566337400000100024e+07
5.785000000000000211e-03 2.021500000000000033e-02 3.012099999999999847e-02 2.791756177197143173e+10 2.213447681752329254e+10 5.783084954448138237e+09 9.902419999979999848e+05
5.785000000000000211e-03 2.516799999999999940e-02 2.516799999999999940e-02 1.689894983006073952e+10 1.111586487561260223e+10 5.783084954448138237e+09 3.279563200000400096e+07
5.785000000000000211e-03 2.516799999999999940e-02 3.012099999999999847e-02 5.152646498510556030e+10 4.574338003065742493e+10 5.783084954448138237e+09 2.335585400000000000e+07
5.785000000000000211e-03 2.516799999999999940e-02 3.511199999999999738e-02 6.749953562462163544e+10 6.171645067017350006e+10 5.783084954448138237e+09 1.409678000000000000e+06
5.785000000000000211e-03 3.012099999999999847e-02 3.012099999999999847e-02 4.551006588479046631e+10 3.972698093034233093e+10 5.783084954448138237e+09 4.740007600000599772e+07
5.785000000000000211e-03 3.012099999999999847e-02 3.511199999999999738e-02 3.177688934445233536e+10 2.599380439000419617e+10 5.783084954448138237e+09 3.275426599999700114e+07
5.785000000000000211e-03 3.012099999999999847e-02 4.010899999999999882e-02 3.834806403022658539e+10 3.256497907577844620e+10 5.783084954448138237e+09 1.831502000002000015e+06
5.785000000000000211e-03 3.511199999999999738e-02 3.511199999999999738e-02 3.119762772527013397e+10 2.541454277082199478e+10 5.783084954448138237e+09 6.563974000000400096e+07
5.785000000000000211e-03 3.511199999999999738e-02 4.010899999999999882e-02 3.274319772159855652e+10 2.696011276715041733e+10 5.783084954448138237e+09 4.371586599999699742e+07
