# Bispectrum RIC correction for sample NGC and SN subtraction False 
#  k1_eff k2_eff k3_eff Wk_ric
5.738000000000000045e-03 5.738000000000000045e-03 5.738000000000000045e-03 1.182128436728911103e+00
5.738000000000000045e-03 5.738000000000000045e-03 1.037300000000000028e-02 -1.263353965289795988e-01
5.738000000000000045e-03 5.738000000000000045e-03 1.525999999999999926e-02 -1.286348539510847877e-01
5.738000000000000045e-03 1.037300000000000028e-02 1.037300000000000028e-02 2.513487233424306355e-01
5.738000000000000045e-03 1.037300000000000028e-02 1.525999999999999926e-02 -3.812536726779446679e-04
5.738000000000000045e-03 1.037300000000000028e-02 2.019699999999999968e-02 -6.172955635918592893e-02
5.738000000000000045e-03 1.525999999999999926e-02 1.525999999999999926e-02 3.509484230271724958e-01
5.738000000000000045e-03 1.525999999999999926e-02 2.019699999999999968e-02 -4.166536372700341273e-03
5.738000000000000045e-03 1.525999999999999926e-02 2.516699999999999840e-02 -3.590732541633846753e-02
5.738000000000000045e-03 2.019699999999999968e-02 2.019699999999999968e-02 3.236847711754418655e-01
5.738000000000000045e-03 2.019699999999999968e-02 2.516699999999999840e-02 -1.003596706636347545e-04
5.738000000000000045e-03 2.019699999999999968e-02 3.013700000000000059e-02 -3.368504063475727395e-02
5.738000000000000045e-03 2.516699999999999840e-02 2.516699999999999840e-02 2.423707793897094398e-01
5.738000000000000045e-03 2.516699999999999840e-02 3.013700000000000059e-02 -2.156292824398661767e-02
5.738000000000000045e-03 2.516699999999999840e-02 3.511100000000000332e-02 -7.398316312556459107e-02
5.738000000000000045e-03 3.013700000000000059e-02 3.013700000000000059e-02 3.051228059962617367e-01
5.738000000000000045e-03 3.013700000000000059e-02 3.511100000000000332e-02 -1.239274516210736587e-02
5.738000000000000045e-03 3.013700000000000059e-02 4.009599999999999970e-02 -7.767014668294007496e-02
5.738000000000000045e-03 3.511100000000000332e-02 3.511100000000000332e-02 2.919741708569123517e-01
5.738000000000000045e-03 3.511100000000000332e-02 4.009599999999999970e-02 -2.463195777975361184e-02
5.738000000000000045e-03 3.511100000000000332e-02 4.509300000000000114e-02 -5.493843163163163873e-02
5.738000000000000045e-03 4.009599999999999970e-02 4.009599999999999970e-02 2.765526252832480880e-01
5.738000000000000045e-03 4.009599999999999970e-02 4.509300000000000114e-02 -2.793766372221630906e-02
5.738000000000000045e-03 4.009599999999999970e-02 5.009299999999999864e-02 -5.279781400671509917e-02
5.738000000000000045e-03 4.509300000000000114e-02 4.509300000000000114e-02 2.658531431530425926e-01
5.738000000000000045e-03 4.509300000000000114e-02 5.009299999999999864e-02 -2.740487165453217924e-02
5.738000000000000045e-03 4.509300000000000114e-02 5.507800000000000196e-02 -2.742952247467227850e-02
5.738000000000000045e-03 5.009299999999999864e-02 5.009299999999999864e-02 2.833766936231194578e-01
5.738000000000000045e-03 5.009299999999999864e-02 5.507800000000000196e-02 -3.184822627440121040e-02
5.738000000000000045e-03 5.009299999999999864e-02 6.006700000000000234e-02 -8.302726469461474412e-02
5.738000000000000045e-03 5.507800000000000196e-02 5.507800000000000196e-02 2.717616770897474110e-01
