# Bispectrum RIC correction for sample NGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
5.738000000000000045e-03 5.738000000000000045e-03 5.738000000000000045e-03 1.241719998382954593e+01
5.738000000000000045e-03 5.738000000000000045e-03 1.037300000000000028e-02 -1.953153727475067936e-01
5.738000000000000045e-03 5.738000000000000045e-03 1.525999999999999926e-02 -1.810504816185271038e-01
5.738000000000000045e-03 1.037300000000000028e-02 1.037300000000000028e-02 3.798191386839970263e-01
5.738000000000000045e-03 1.037300000000000028e-02 1.525999999999999926e-02 -6.477576013375022524e-04
5.738000000000000045e-03 1.037300000000000028e-02 2.019699999999999968e-02 -1.049991699210762464e-01
5.738000000000000045e-03 1.525999999999999926e-02 1.525999999999999926e-02 5.545183656200651789e-01
5.738000000000000045e-03 1.525999999999999926e-02 2.019699999999999968e-02 -6.175620730163416429e-03
5.738000000000000045e-03 1.525999999999999926e-02 2.516699999999999840e-02 -5.093127090614744945e-02
5.738000000000000045e-03 2.019699999999999968e-02 2.019699999999999968e-02 5.060344102364704444e-01
5.738000000000000045e-03 2.019699999999999968e-02 2.516699999999999840e-02 -2.207777739075082724e-04
5.738000000000000045e-03 2.019699999999999968e-02 3.013700000000000059e-02 -4.833782731694396401e-02
5.738000000000000045e-03 2.516699999999999840e-02 2.516699999999999840e-02 3.679521787156130874e-01
5.738000000000000045e-03 2.516699999999999840e-02 3.013700000000000059e-02 -3.235415187058625353e-02
5.738000000000000045e-03 2.516699999999999840e-02 3.511100000000000332e-02 -1.102264126828539359e-01
5.738000000000000045e-03 3.013700000000000059e-02 3.013700000000000059e-02 5.019340293797406316e-01
5.738000000000000045e-03 3.013700000000000059e-02 3.511100000000000332e-02 -1.922385095446215927e-02
5.738000000000000045e-03 3.013700000000000059e-02 4.009599999999999970e-02 -1.169223597606968562e-01
5.738000000000000045e-03 3.511100000000000332e-02 3.511100000000000332e-02 4.977613376314981575e-01
5.738000000000000045e-03 3.511100000000000332e-02 4.009599999999999970e-02 -3.996729548168867496e-02
