# Pk for p=1.0, NGC 
#  k(h/Mpc) Pk*A/Q0(0)
3.750000000000000295e-03 5.609042578125000000e+04
8.035714285714286656e-03 4.532429687500000000e+04
1.282894736842105608e-02 4.473063281250000000e+04
1.773648648648648574e-02 4.109788281250000000e+04
2.268442622950819776e-02 4.149473046875000000e+04
2.765109890109889931e-02 3.737662500000000000e+04
3.262795275590551353e-02 3.327617578125000000e+04
3.761094674556213213e-02 3.085350781250000000e+04
4.259792626728110126e-02 2.574439843750000000e+04
4.758763837638376598e-02 2.458194726562500000e+04
5.257930513595167332e-02 2.258768554687500000e+04
5.757241813602014674e-02 2.169457226562500000e+04
6.256663113006397103e-02 1.961141015625000000e+04
6.756170018281536238e-02 1.814046484375000000e+04
7.255744849445325273e-02 1.732707812500000000e+04
7.755374479889043382e-02 1.631256933593750000e+04
8.255048959608321524e-02 1.428514355468750000e+04
8.754760609357999102e-02 1.270462207031250000e+04
9.254503407984421282e-02 1.262440332031250000e+04
9.754272567922873949e-02 1.075866113281250000e+04
1.025406423473433498e-01 9.145273437500000000e+03
1.075387527036769930e-01 7.570037597656250000e+03
1.125370309414088082e-01 8.289911132812500000e+03
1.175354556427277986e-01 7.294024414062500000e+03
1.225340088839533548e-01 7.645500000000000000e+03
1.275326755509994803e-01 7.232223144531250000e+03
1.325314428096820152e-01 6.495294433593750000e+03
1.375302996914940790e-01 6.747094238281250000e+03
1.425292367665162430e-01 6.215088378906250000e+03
1.475282458828035270e-01 5.632245605468750000e+03
1.525273199570046367e-01 4.513697753906250000e+03
1.575264528048370694e-01 4.023865722656250000e+03
1.625256390028400610e-01 4.451045410156250000e+03
1.675248737748737671e-01 3.899958984375000000e+03
1.725241528983477990e-01 3.847115722656250000e+03
1.775234726262892859e-01 3.126714355468750000e+03
1.825228296222166646e-01 3.297381835937500000e+03
1.875222209054278610e-01 3.355214599609375000e+03
1.925216438048121814e-01 3.099105712890625000e+03
1.975210959196753435e-01 2.858664306640625000e+03
2.025205750863645349e-01 2.542832519531250000e+03
2.075200793497193053e-01 2.440854736328125000e+03
2.125196069385495434e-01 2.316715087890625000e+03
2.175191562444953319e-01 2.536293212890625000e+03
2.225187258037367444e-01 1.968007446289062500e+03
