# Pk for p=0.0, NGC 
#  k(h/Mpc) Pk*A/Q0(0)
3.750000000000000295e-03 6.950685937500000000e+04
8.035714285714286656e-03 4.454435546875000000e+04
1.282894736842105608e-02 4.468808203125000000e+04
1.773648648648648574e-02 3.829108593750000000e+04
2.268442622950819776e-02 3.918911328125000000e+04
2.765109890109889931e-02 3.524121875000000000e+04
3.262795275590551353e-02 2.952085742187500000e+04
3.761094674556213213e-02 2.799478906250000000e+04
4.259792626728110126e-02 2.344039062500000000e+04
4.758763837638376598e-02 2.246957421875000000e+04
5.257930513595167332e-02 2.050245117187500000e+04
5.757241813602014674e-02 1.957200585937500000e+04
6.256663113006397103e-02 1.784694726562500000e+04
6.756170018281536238e-02 1.620453320312500000e+04
7.255744849445325273e-02 1.566930175781250000e+04
7.755374479889043382e-02 1.509914257812500000e+04
8.255048959608321524e-02 1.304401367187500000e+04
8.754760609357999102e-02 1.150576464843750000e+04
9.254503407984421282e-02 1.130333007812500000e+04
9.754272567922873949e-02 9.523258789062500000e+03
1.025406423473433498e-01 8.191404296875000000e+03
1.075387527036769930e-01 7.122133789062500000e+03
1.125370309414088082e-01 7.451970703125000000e+03
1.175354556427277986e-01 6.559670898437500000e+03
1.225340088839533548e-01 6.899921875000000000e+03
1.275326755509994803e-01 6.751700195312500000e+03
1.325314428096820152e-01 5.880370117187500000e+03
1.375302996914940790e-01 6.271698730468750000e+03
1.425292367665162430e-01 5.808914550781250000e+03
1.475282458828035270e-01 5.330330566406250000e+03
1.525273199570046367e-01 4.345639648437500000e+03
1.575264528048370694e-01 3.840574462890625000e+03
1.625256390028400610e-01 4.131115234375000000e+03
1.675248737748737671e-01 3.621747802734375000e+03
1.725241528983477990e-01 3.636780761718750000e+03
1.775234726262892859e-01 3.187645996093750000e+03
1.825228296222166646e-01 3.293937011718750000e+03
1.875222209054278610e-01 3.047345214843750000e+03
1.925216438048121814e-01 2.862161621093750000e+03
1.975210959196753435e-01 2.755036865234375000e+03
2.025205750863645349e-01 2.449271484375000000e+03
2.075200793497193053e-01 2.381201171875000000e+03
2.125196069385495434e-01 2.265330322265625000e+03
2.175191562444953319e-01 2.543814208984375000e+03
2.225187258037367444e-01 2.049004882812500000e+03
