# Pk for p=1.6, SGC 
#  k(h/Mpc) Pk*A/Q0(0)
3.750000000000000295e-03 5.922078906250000000e+04
8.035714285714286656e-03 3.729508593750000000e+04
1.282894736842105608e-02 3.906374609375000000e+04
1.773648648648648574e-02 4.701659765625000000e+04
2.268442622950819776e-02 3.847814062500000000e+04
2.765109890109889931e-02 3.953543750000000000e+04
3.262795275590551353e-02 3.814857421875000000e+04
3.761094674556213213e-02 3.145399414062500000e+04
4.259792626728110126e-02 2.443628125000000000e+04
4.758763837638376598e-02 2.265196875000000000e+04
5.257930513595167332e-02 1.867235937500000000e+04
5.757241813602014674e-02 2.195230078125000000e+04
6.256663113006397103e-02 2.072123242187500000e+04
6.756170018281536238e-02 1.913210937500000000e+04
7.255744849445325273e-02 1.907213867187500000e+04
7.755374479889043382e-02 1.481777441406250000e+04
8.255048959608321524e-02 1.626228027343750000e+04
8.754760609357999102e-02 1.215779589843750000e+04
9.254503407984421282e-02 1.127234765625000000e+04
9.754272567922873949e-02 1.004426367187500000e+04
1.025406423473433498e-01 9.079953125000000000e+03
1.075387527036769930e-01 9.362963867187500000e+03
1.125370309414088082e-01 8.317047851562500000e+03
1.175354556427277986e-01 8.650254882812500000e+03
1.225340088839533548e-01 7.263998046875000000e+03
1.275326755509994803e-01 8.383206054687500000e+03
1.325314428096820152e-01 7.115092285156250000e+03
1.375302996914940790e-01 7.146406738281250000e+03
1.425292367665162430e-01 7.681047851562500000e+03
1.475282458828035270e-01 6.553564453125000000e+03
1.525273199570046367e-01 5.688504882812500000e+03
1.575264528048370694e-01 4.099896484375000000e+03
1.625256390028400610e-01 4.295488769531250000e+03
1.675248737748737671e-01 4.763774902343750000e+03
1.725241528983477990e-01 4.073918212890625000e+03
1.775234726262892859e-01 3.663074707031250000e+03
1.825228296222166646e-01 3.555781494140625000e+03
1.875222209054278610e-01 4.108603027343750000e+03
1.925216438048121814e-01 3.058520996093750000e+03
1.975210959196753435e-01 3.420740234375000000e+03
2.025205750863645349e-01 2.342873046875000000e+03
2.075200793497193053e-01 2.607862548828125000e+03
2.125196069385495434e-01 2.456064208984375000e+03
2.175191562444953319e-01 2.493435791015625000e+03
2.225187258037367444e-01 2.066462158203125000e+03
2.275183142811141312e-01 2.232743164062500000e+03
2.325179204562972113e-01 1.951829345703125000e+03
2.375175432117004048e-01 1.621664184570312500e+03
2.425171815218931104e-01 1.805142333984375000e+03
2.475168344442932600e-01 1.939284790039062500e+03
2.525165011109659075e-01 2.034342529296875000e+03
2.575161807213774967e-01 1.688253295898437500e+03
2.625158725359777456e-01 1.494496215820312500e+03
2.675155758705018982e-01 1.572543823242187500e+03
2.725152900908989206e-01 1.017887451171875000e+03
2.775150146088086189e-01 1.211775634765625000e+03
