# Pk for p=0.0, SGC 
#  k(h/Mpc) Pk*A/Q0(0)
3.750000000000000295e-03 6.250596484375000000e+04
8.035714285714286656e-03 4.247851562500000000e+04
1.282894736842105608e-02 2.907254101562500000e+04
1.773648648648648574e-02 3.818187109375000000e+04
2.268442622950819776e-02 3.632491015625000000e+04
2.765109890109889931e-02 3.362391406250000000e+04
3.262795275590551353e-02 3.265490820312500000e+04
3.761094674556213213e-02 2.711195898437500000e+04
4.259792626728110126e-02 2.214369140625000000e+04
4.758763837638376598e-02 2.131405078125000000e+04
5.257930513595167332e-02 1.669384570312500000e+04
5.757241813602014674e-02 1.896474023437500000e+04
6.256663113006397103e-02 1.760641992187500000e+04
6.756170018281536238e-02 1.610622656250000000e+04
7.255744849445325273e-02 1.616097265625000000e+04
7.755374479889043382e-02 1.291853906250000000e+04
8.255048959608321524e-02 1.400036328125000000e+04
8.754760609357999102e-02 1.057186914062500000e+04
9.254503407984421282e-02 9.796804687500000000e+03
9.754272567922873949e-02 9.302110351562500000e+03
1.025406423473433498e-01 8.499584960937500000e+03
1.075387527036769930e-01 8.028208984375000000e+03
1.125370309414088082e-01 6.830868164062500000e+03
1.175354556427277986e-01 7.111871093750000000e+03
1.225340088839533548e-01 6.309041992187500000e+03
1.275326755509994803e-01 7.106579589843750000e+03
1.325314428096820152e-01 6.590795898437500000e+03
1.375302996914940790e-01 6.558532714843750000e+03
1.425292367665162430e-01 6.252017578125000000e+03
1.475282458828035270e-01 6.044672851562500000e+03
1.525273199570046367e-01 5.013948730468750000e+03
1.575264528048370694e-01 4.016897949218750000e+03
1.625256390028400610e-01 3.712425292968750000e+03
1.675248737748737671e-01 3.914588378906250000e+03
1.725241528983477990e-01 3.581033935546875000e+03
1.775234726262892859e-01 3.463432617187500000e+03
1.825228296222166646e-01 3.064229003906250000e+03
1.875222209054278610e-01 3.501941162109375000e+03
1.925216438048121814e-01 2.847077636718750000e+03
1.975210959196753435e-01 3.078238281250000000e+03
2.025205750863645349e-01 2.572682861328125000e+03
2.075200793497193053e-01 2.391010253906250000e+03
2.125196069385495434e-01 2.267053955078125000e+03
2.175191562444953319e-01 2.380368408203125000e+03
2.225187258037367444e-01 2.145325683593750000e+03
2.275183142811141312e-01 1.872492065429687500e+03
2.325179204562972113e-01 1.892332763671875000e+03
2.375175432117004048e-01 1.692203613281250000e+03
2.425171815218931104e-01 1.830185913085937500e+03
2.475168344442932600e-01 1.547258789062500000e+03
2.525165011109659075e-01 1.907776733398437500e+03
2.575161807213774967e-01 1.631963867187500000e+03
2.625158725359777456e-01 1.546566772460937500e+03
2.675155758705018982e-01 1.360168212890625000e+03
2.725152900908989206e-01 1.415800048828125000e+03
2.775150146088086189e-01 1.390077148437500000e+03
