# Tk at z_eff=1.7584 (p=1.6, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -5.960552248244832063e-04 -4.471377739174151370e-04 -4.471377841770790779e-04 -5.960520259780928507e-04 -4.471337942897969696e-04 -4.472419590613859407e-04 5.894305303161381238e-01 5.889992585763379473e-01
1.313534929037202208e-05 -9.445641795882103557e-04 -7.086651534501337089e-04 -7.086651792204584936e-04 -9.445561451306421375e-04 -7.086575378793737601e-04 -7.088301937462601664e-04 5.894300179746897461e-01 5.889988250120531399e-01
1.653642501444182178e-05 -1.496732751743260923e-03 -1.123157429252848172e-03 -1.123157493980018410e-03 -1.496712573321804397e-03 -1.123142073186459648e-03 -1.123418794478414640e-03 5.894292104318110681e-01 5.889981422519511289e-01
2.081812567090954053e-05 -2.371406752707702972e-03 -1.780081721088383646e-03 -1.780081883660964695e-03 -2.371356078539742663e-03 -1.780049128943186334e-03 -1.780495439702507688e-03 5.894279443175017841e-01 5.889970739339495109e-01
2.620846743303251739e-05 -3.756530990973003855e-03 -2.821232107841154316e-03 -2.821232516133593670e-03 -3.756403752340088838e-03 -2.821159719251803682e-03 -2.821886508576539401e-03 5.894259057570248039e-01 5.889953485975042424e-01
3.299450565562448486e-05 -5.948942399117985655e-03 -4.471333353197396755e-03 -4.471334378517233601e-03 -5.948622979559049957e-03 -4.471166547350071026e-03 -4.472367247329994688e-03 5.894226902001562518e-01 5.889926292923939322e-01
4.153762161945203773e-05 -9.416498311056535273e-03 -7.086539908802757214e-03 -7.086542483234916853e-03 -9.415696722728125051e-03 -7.086144736415067764e-03 -7.088170336761412567e-03 5.894175828998169386e-01 5.889883074899748827e-01
5.229276740221896000e-05 -1.489419871062745010e-02 -1.123129349665429044e-02 -1.123129995923874760e-02 -1.489218820226894877e-02 -1.123033866963470302e-02 -1.123385702522196848e-02 5.894094854999605282e-01 5.889814527857623050e-01
6.583269373569511308e-05 -2.353068112517305369e-02 -1.780011143494201684e-02 -1.780012765162867008e-02 -2.352564289911936515e-02 -1.779777309134182930e-02 -1.780412291974179523e-02 5.893966792074997185e-01 5.889706102941578703e-01
8.287845107072927249e-05 -3.710587833365588256e-02 -2.821054898216665552e-02 -2.821058965074031352e-02 -3.709327029948498305e-02 -2.820477118637416264e-02 -2.821677805169679060e-02 5.893763984005249146e-01 5.889534274981568229e-01
1.043377881430805848e-04 -5.834019882923318495e-02 -4.470888397117299407e-02 -4.470898586409706443e-02 -5.830871677114284057e-02 -4.469452531001880807e-02 -4.471843503523194319e-02 5.893443222720232688e-01 5.889262255800201684e-01
1.313534929037203224e-04 -9.129732357950481880e-02 -7.085423367618030877e-02 -7.085448858087010915e-02 -9.121898667008353223e-02 -7.081842149065564751e-02 -7.086857160576104375e-02 5.892936550566156839e-01 5.888831941855826591e-01
1.653642501444183466e-04 -1.418139563251065438e-01 -1.122849362731963840e-01 -1.122855724507364483e-01 -1.416201045603402431e-01 -1.121954253291306963e-01 -1.123056824287821526e-01 5.892137766225570283e-01 5.888151961768740561e-01
2.081812567090955408e-04 -2.176970894758692432e-01 -1.779309662097005584e-01 -1.779325480267531789e-01 -2.172215620789364199e-01 -1.777069928139144439e-01 -1.779589967397317840e-01 5.890882270559187894e-01 5.887079303718082413e-01
2.620846743303253501e-04 -3.279732250134770322e-01 -2.819300154562658922e-01 -2.819339253354601338e-01 -3.268228204730751485e-01 -2.813694399549124259e-01 -2.819627163248898949e-01 5.888918247236153425e-01 5.885391778518959116e-01
3.299450565562450925e-04 -4.795828522809772454e-01 -4.466509314181067447e-01 -4.466605058435699771e-01 -4.768604742108926153e-01 -4.452485876547404020e-01 -4.466750483698102014e-01 5.885868126226686536e-01 5.882748147237216729e-01
4.153762161945206348e-04 -6.687506017890106902e-01 -7.074534880864746800e-01 -7.074765941156759830e-01 -6.625294925924692935e-01 -7.039502020012949890e-01 -7.074285415094564433e-01 5.881183158216395368e-01 5.878633844885230442e-01
5.229276740221899117e-04 -8.648311898978794376e-01 -1.120156951021162195e+00 -1.120211459102651963e+00 -8.513817393108810139e-01 -1.111427465688822336e+00 -1.119981503732504491e+00 5.874102207127778197e-01 5.872294809256066728e-01
6.583269373569515916e-04 -9.942071043570034350e-01 -1.772706704518736798e+00 -1.772830876240272469e+00 -9.675702302607757099e-01 -1.751046973537959683e+00 -1.772162154419226976e+00 5.863636454275825693e-01 5.862673529984587795e-01
8.287845107072932399e-04 -9.637329725802241676e-01 -2.803296126135822242e+00 -2.803564580150873731e+00 -9.177123695316949936e-01 -2.749919434254581407e+00 -2.801982284773648413e+00 5.848593346264990833e-01 5.848379075385389259e-01
1.043377881430806661e-03 -7.924500395122922036e-01 -4.428327380031227278e+00 -4.428866247478817186e+00 -7.275141306039339950e-01 -4.298192521582627101e+00 -4.425631854578938373e+00 5.827570547695117842e-01 5.827721873374898109e-01
1.313534929037204037e-03 -7.448681927871806385e-01 -6.985190636043486556e+00 -6.986176660078678324e+00 -6.735554468418867291e-01 -6.673101375901614674e+00 -6.980223063646141313e+00 5.798689430399931455e-01 5.798742862770955853e-01
1.653642501444184225e-03 -8.917694294715453607e-01 -1.099671506539483268e+01 -1.099838295238712682e+01 -8.269866503313211270e-01 -1.026642430903818948e+01 -1.098772478479822290e+01 5.758938688771361170e-01 5.758859921321535236e-01
2.081812567090956384e-03 -7.338321793355138123e-01 -1.726699623598140576e+01 -1.726984021125245050e+01 -6.931585687692527475e-01 -1.561610303416186696e+01 -1.725033538931813837e+01 5.704472835418575860e-01 5.704487448791295545e-01
2.620846743303254910e-03 -7.836204793606180719e-01 -2.701980313951390045e+01 -2.702516809369090822e+01 -7.644045389215974318e-01 -2.345006879665247368e+01 -2.698979192619924561e+01 5.631258217728274396e-01 5.631231204105813237e-01
3.299450565562452118e-03 -6.820111262852751599e-01 -4.209605295540513481e+01 -4.210675097440508097e+01 -6.573379213742505112e-01 -3.474954098602732699e+01 -4.204280792531407229e+01 5.534651438734531359e-01 5.534643949779451955e-01
4.153762161945208191e-03 -6.875311887705543024e-01 -6.522382830986377655e+01 -6.524578147166960207e+01 -6.432595700271369621e-01 -5.075774392466632179e+01 -6.513163067890809543e+01 5.409856202765963573e-01 5.409846756817243696e-01
5.229276740221901719e-03 -6.578668000229093149e-01 -1.003681128240862961e+02 -1.004156078271526837e+02 -6.290954326009284836e-01 -7.277788788805931119e+01 -1.002133490129071731e+02 5.251895554420372703e-01 5.251889977709601753e-01
6.583269373569518301e-03 -6.786259533352090312e-01 -1.531467918320429362e+02 -1.532525771224988205e+02 -6.678954419564697709e-01 -1.019177491807155604e+02 -1.528970358159538137e+02 5.055769096634287196e-01 5.055766563121834034e-01
8.287845107072935869e-03 -6.023890626011614291e-01 -2.312338185329891758e+02 -2.314745970022765107e+02 -5.812995257092070656e-01 -1.389504360499603308e+02 -2.308567686370175238e+02 4.816464629092143679e-01 4.816464173526481263e-01
1.043377881430807008e-02 -5.663339994003244726e-01 -3.445585393127428233e+02 -3.451114662817992667e+02 -5.464825902009783354e-01 -1.827383874451755048e+02 -3.440491302046398800e+02 4.529032275710600519e-01 4.529032170999723328e-01
1.313534929037204514e-02 -5.236236092920892871e-01 -5.048489727717456503e+02 -5.061137946845045690e+02 -5.052618669578448074e-01 -2.286926018919292858e+02 -5.043065217510749676e+02 4.188697006006650847e-01 4.188696966833889146e-01
1.653642501441474066e-02 -4.739113137022707978e-01 -7.237563316598776737e+02 -7.265954783225931806e+02 -4.572861754585689220e-01 -2.766809376544678685e+02 -7.236061976527596471e+02 3.792156059352681519e-01 3.792156035537952441e-01
2.081812550581494531e-02 -4.172009445215481005e-01 -1.008712628330905659e+03 -1.014844991879510303e+03 -4.025579599163443545e-01 -3.103272794324310553e+02 -1.009984561677732586e+03 3.339629966130625016e-01 3.339629949712564216e-01
2.620834159861067797e-02 -3.548924270607162756e-01 -1.357354805492475180e+03 -1.369737281955128992e+03 -3.424310342062894530e-01 -3.247089452913941727e+02 -1.362105418067696064e+03 2.841830965814404197e-01 2.841830955052628838e-01
3.297707069353843917e-02 -2.911108417116221592e-01 -1.758592933042755249e+03 -1.780903600714809272e+03 -2.808850339542517949e-01 -3.161331515034082713e+02 -1.769524013305144763e+03 2.331839864837390308e-01 2.331839858251706643e-01
4.095687481729270302e-02 -2.360754478493287123e-01 -2.196675722175441933e+03 -2.229519780196516876e+03 -2.277801749679702337e-01 -2.930148418567229101e+02 -2.214035947944540567e+03 1.891460711502384318e-01 1.891460707568582145e-01
4.769128111748335841e-02 -2.042163567970554927e-01 -2.578314967151472956e+03 -2.615447701869501543e+03 -1.970389876278880736e-01 -2.739295050037450778e+02 -2.597187615620570796e+03 1.636407838485137156e-01 1.636407835783580678e-01
5.257408315740727534e-02 -1.873529983879062555e-01 -2.878696762834832043e+03 -2.915615427469298083e+03 -1.807674092925517229e-01 -2.624546883202976346e+02 -2.895769690146648827e+03 1.501366667487878115e-01 1.501366665363071673e-01
5.659956586758269070e-02 -1.761608657405595024e-01 -3.141664870091727607e+03 -3.176772028861039416e+03 -1.699680716048324325e-01 -2.542340013625168353e+02 -3.155810370786020030e+03 1.411727388861717114e-01 1.411727387088911045e-01
6.019323165754984079e-02 -1.675312857631426899e-01 -3.383518387990163319e+03 -3.416409982413308626e+03 -1.616414043506537446e-01 -2.474006807420578298e+02 -3.394514610596146667e+03 1.342605692231560732e-01 1.342605690708359445e-01
6.354465018369143126e-02 -1.601943564913203277e-01 -3.609290880691969051e+03 -3.640225084057591175e+03 -1.545620713043713568e-01 -2.410515090885981238e+02 -3.617440198409043205e+03 1.283835798157527686e-01 1.283835796827372533e-01
