# Tk at z_eff=1.7634 (p=1.6, SGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -5.950327688611978033e-04 -4.463705961029712618e-04 -4.463706063380944492e-04 -5.950295821487799853e-04 -4.463670390233108725e-04 -4.464747929372528401e-04 5.894879057099439157e-01 5.890558161069793242e-01
1.313534929037202208e-05 -9.429441130688220223e-04 -7.074492600406260450e-04 -7.074492857493107920e-04 -9.429361090863216943e-04 -7.074423151473865608e-04 -7.076143189914693796e-04 5.894873939026963328e-01 5.890553830858920037e-01
1.653642501444182178e-05 -1.494166164183308556e-03 -1.121230370061763754e-03 -1.121230434634115560e-03 -1.494146062294686135e-03 -1.121216079419642270e-03 -1.121491765171122494e-03 5.894865863078666557e-01 5.890547002884275463e-01
2.081812567090954053e-05 -2.367341609892304865e-03 -1.777027543708813466e-03 -1.777027705892557114e-03 -2.367291127900861009e-03 -1.776996646356620007e-03 -1.777441310484183766e-03 5.894853202996382935e-01 5.890536320998206454e-01
2.620846743303251739e-05 -3.750094763565716555e-03 -2.816391578214512414e-03 -2.816391985530460745e-03 -3.749968007390845105e-03 -2.816321891287692190e-03 -2.817046057284956426e-03 5.894832821317129712e-01 5.890519071928062012e-01
3.299450565562448486e-05 -5.938758204115748320e-03 -4.463661669749387738e-03 -4.463662692617208563e-03 -5.938439995401337095e-03 -4.463499184923854120e-03 -4.464695693063442002e-03 5.894800672937693387e-01 5.890491886658937304e-01
4.153762161945203773e-05 -9.400398929072796908e-03 -7.074381207331854188e-03 -7.074383775608180172e-03 -9.399600378094532388e-03 -7.073992981698612459e-03 -7.076011852633882875e-03 5.894749610572278531e-01 5.890448680228003164e-01
5.229276740221896000e-05 -1.486878685646846228e-02 -1.121202349795661322e-02 -1.121202994509166301e-02 -1.486678396112274363e-02 -1.121107992793283006e-02 -1.121458740254447327e-02 5.894668653210416442e-01 5.890380151375470552e-01
6.583269373569511308e-05 -2.349066618354308036e-02 -1.776957116025875208e-02 -1.776958733819124919e-02 -2.348564701508281186e-02 -1.776725127844880694e-02 -1.777358331984635331e-02 5.894540617200214605e-01 5.890271755926568265e-01
8.287845107072927249e-05 -3.704310849563557245e-02 -2.816214745006532377e-02 -2.816218802150439321e-02 -3.703054807200550913e-02 -2.815640047279931169e-02 -2.816837778540523182e-02 5.894337850691323544e-01 5.890099973804698852e-01
1.043377881430805848e-04 -5.824233174708291771e-02 -4.463217657833434132e-02 -4.463227822810560824e-02 -5.821096825280218379e-02 -4.461787067437942428e-02 -4.464173013510180227e-02 5.894017154159360006e-01 5.889828026738510580e-01
1.313534929037203224e-04 -9.114621483577506345e-02 -7.073267033569168027e-02 -7.073292463292879528e-02 -9.106817169018999181e-02 -7.069695158685054825e-02 -7.074701341186441506e-02 5.893510581633230050e-01 5.889397825527358243e-01
1.653642501444183466e-04 -1.415842773167854396e-01 -1.120922955890678030e-01 -1.120929302538761774e-01 -1.413911475519914474e-01 -1.120029573757578417e-01 -1.121130528029727763e-01 5.892711948077372641e-01 5.888718020511123363e-01
2.081812567090955408e-04 -2.173568040846409477e-01 -1.776257117617334458e-01 -1.776272898304898928e-01 -2.168830285089642096e-01 -1.774020739138229275e-01 -1.776537667096048101e-01 5.891456673868761262e-01 5.887645630882089032e-01
2.620846743303253501e-04 -3.274900107164665508e-01 -2.814463700903870325e-01 -2.814502707553545036e-01 -3.263437699791788549e-01 -2.808864811477648771e-01 -2.814791254600682024e-01 5.889492959442137465e-01 5.885958508883146756e-01
3.299450565562450925e-04 -4.789447936834176911e-01 -4.458847768119689747e-01 -4.458943288678910988e-01 -4.762319889143541984e-01 -4.444839080807219123e-01 -4.459090142439873228e-01 5.886443229419077161e-01 5.883315462679332697e-01
4.153762161945206348e-04 -6.680129371291416707e-01 -7.062401256320244292e-01 -7.062631784059160145e-01 -6.618126795997376632e-01 -7.027401419804820693e-01 -7.062154358752178451e-01 5.881758660349987178e-01 5.879201959724521531e-01
5.229276740221899117e-04 -8.641884795030957411e-01 -1.118236104266222997e+00 -1.118290489360741935e+00 -8.507805422873139234e-01 -1.109514247344627114e+00 -1.118061164529571716e+00 5.874677882505794368e-01 5.872863898667349813e-01
6.583269373569515916e-04 -9.940185051076385614e-01 -1.769667599155691162e+00 -1.769791499781907751e+00 -9.674524055411579671e-01 -1.748025858711885760e+00 -1.769123919639195242e+00 5.864211567271961911e-01 5.863243536347783058e-01
8.287845107072932399e-04 -9.642648053455883383e-01 -2.798491591338111650e+00 -2.798759487773414989e+00 -9.183342442465703970e-01 -2.745157783341886759e+00 -2.797178887245842294e+00 5.849166394665662461e-01 5.848949332160930936e-01
1.043377881430806661e-03 -7.931734661244137508e-01 -4.420740017114100695e+00 -4.421277843241335326e+00 -7.282909909658146219e-01 -4.290707481469882012e+00 -4.418045284932084371e+00 5.828139579246318647e-01 5.828290684459309645e-01
1.313534929037204037e-03 -7.446305689023257068e-01 -6.973225510957254514e+00 -6.974209801309172008e+00 -6.732538003788764991e-01 -6.661378247085262494e+00 -6.968257848550510225e+00 5.799253539645234934e-01 5.799307788386202089e-01
1.653642501444184225e-03 -8.918927692850299183e-01 -1.097788219023858147e+01 -1.097954743579052561e+01 -8.268917035411459393e-01 -1.024815309383538420e+01 -1.096889264128340358e+01 5.759498783865719673e-01 5.759419656536497456e-01
2.081812567090956384e-03 -7.350437101532877326e-01 -1.723743010717315727e+01 -1.724027006690689134e+01 -6.939979044423145726e-01 -1.558780546768456432e+01 -1.722077215177039733e+01 5.705028004977561462e-01 5.705042377756395222e-01
2.620846743303254910e-03 -7.834822365404271460e-01 -2.697354483959094296e+01 -2.697890340259599640e+01 -7.641873386221523790e-01 -2.340658915761434145e+01 -2.694353988219168983e+01 5.631806141909921903e-01 5.631779146897561983e-01
3.299450565562452118e-03 -6.817657595230485201e-01 -4.202399389888846315e+01 -4.203468171602666814e+01 -6.572117978065018518e-01 -3.468341330937817446e+01 -4.197076500009713840e+01 5.535190394654275758e-01 5.535182997996993537e-01
4.153762161945208191e-03 -6.885267049479768531e-01 -6.511219190525486056e+01 -6.513412914066611847e+01 -6.439554316710683901e-01 -5.065855561768381676e+01 -6.502003427433204763e+01 5.410383679891945796e-01 5.410374134505483434e-01
5.229276740221901719e-03 -6.587765910520786417e-01 -1.001963354745315513e+02 -1.002438051796828091e+02 -6.291711721685160352e-01 -7.263182577513109095e+01 -1.000416611898557449e+02 5.252408414398077596e-01 5.252402760926456748e-01
6.583269373569518301e-03 -6.782919461700803732e-01 -1.528846878592867142e+02 -1.529904330088292568e+02 -6.672201338026216844e-01 -1.017054781710679947e+02 -1.526351135826031395e+02 5.056263494613333354e-01 5.056260975117385925e-01
8.287845107072935869e-03 -6.027799854261031154e-01 -2.308380359135104243e+02 -2.310787500418364004e+02 -5.816511734649051357e-01 -1.386477024772777895e+02 -2.304613379787619465e+02 4.816936440879824866e-01 4.816935984163510653e-01
1.043377881430807008e-02 -5.667390416790837326e-01 -3.439686395492803967e+02 -3.445214619822002078e+02 -5.468312372832351276e-01 -1.823212490454073418e+02 -3.434599012480750275e+02 4.529477040133605970e-01 4.529476934635002228e-01
1.313534929037204514e-02 -5.239983599017944416e-01 -5.039842029023997156e+02 -5.052488517311641658e+02 -5.055844365822405040e-01 -2.281404568062046110e+02 -5.034429863862564503e+02 4.189109623408452387e-01 4.189109583972328021e-01
1.653642501441474066e-02 -4.742508262227522753e-01 -7.225153883322708452e+02 -7.253542429988413005e+02 -4.575784381124918254e-01 -2.759857290364900564e+02 -7.223674277766715477e+02 3.792531058859796578e-01 3.792531034895315623e-01
2.081812550581494531e-02 -4.175001664956605740e-01 -1.006980355120565264e+03 -1.013112221220716833e+03 -4.028155608920896968e-01 -3.095207112064766761e+02 -1.008255987632119513e+03 3.339961727516911894e-01 3.339961710997488842e-01
2.620834159861067797e-02 -3.551472262644311817e-01 -1.355018394513382646e+03 -1.367400036955647465e+03 -3.426504105815785794e-01 -3.238207109663108554e+02 -1.359774761715431850e+03 2.842114457205978106e-01 2.842114446379030435e-01
3.297707069353843917e-02 -2.913200694873979146e-01 -1.755557467260069643e+03 -1.777866825557478251e+03 -2.810651919271975885e-01 -3.152277584589888306e+02 -1.766496958227688765e+03 2.332073432671649404e-01 2.332073426046796238e-01
4.095687481729270302e-02 -2.362452854195088991e-01 -2.192877433504478176e+03 -2.225719733003549663e+03 -2.279264291266211162e-01 -2.921411355172094204e+02 -2.210249254600685617e+03 1.891650827251982470e-01 1.891650823295191741e-01
4.769128111748335841e-02 -2.043633749208557671e-01 -2.573858948976215288e+03 -2.610989777839406997e+03 -1.971655988004883675e-01 -2.730921948944483688e+02 -2.592746180813181127e+03 1.636572675869304994e-01 1.636572673152141555e-01
5.257408315740727534e-02 -1.874879345530141572e-01 -2.873728073906284408e+03 -2.910644869313911386e+03 -1.808836197299972803e-01 -2.616402839318769793e+02 -2.890818015892969470e+03 1.501518090739826505e-01 1.501518088602833145e-01
5.659956586758269070e-02 -1.762877814713208202e-01 -3.136249644249513040e+03 -3.171355023628800609e+03 -1.700773774628123736e-01 -2.534368432153349033e+02 -3.150414313625526574e+03 1.411869895949523779e-01 1.411869894166601913e-01
6.019323165754984079e-02 -1.676520143993348033e-01 -3.377693256931242104e+03 -3.410583164384096563e+03 -1.617453836916107335e-01 -2.466185764103406655e+02 -3.388710630352511089e+03 1.342741313835756345e-01 1.342741312303899204e-01
6.354465018369143126e-02 -1.603098213065367039e-01 -3.603082955504452002e+03 -3.634015539502577667e+03 -1.546615187849875728e-01 -2.402838893612034497e+02 -3.611255261326294203e+03 1.283965555597583463e-01 1.283965554259897390e-01
6.675411010677707868e-02 -1.536324220954642661e-01 -3.813338361503082979e+03 -3.843025248511485188e+03 -1.482191193538169305e-01 -2.339260843810566541e+02 -3.819340503460990931e+03 1.230511045744881043e-01 1.230511044565934797e-01
6.988172453642764459e-02 -1.472779175868144941e-01 -4.007794720007033902e+03 -4.037278158354688912e+03 -1.420883154604991594e-01 -2.273705319990768601e+02 -4.012581167128636025e+03 1.179640708559399204e-01 1.179640707514646447e-01
7.296696933989939293e-02 -1.410581539818402952e-01 -4.185336679797092984e+03 -4.215884089136304283e+03 -1.360875647781161213e-01 -2.205138369170819601e+02 -4.190055831360189586e+03 1.129848809906537216e-01 1.129848808977923641e-01
7.603765997589209680e-02 -1.348815995410284074e-01 -4.345106383151481168e+03 -4.378100894101557060e+03 -1.301285496799178820e-01 -2.132053598983721088e+02 -4.351007341336534409e+03 1.080402202126734823e-01 1.080402201300527665e-01
7.911454529889075382e-02 -1.287231651947199629e-01 -4.486986486007496751e+03 -4.523805809455697272e+03 -1.241870560799955836e-01 -2.055041077699213190e+02 -4.495314693896884819e+03 1.031099439355517428e-01 1.031099438620352582e-01
8.221385964216429421e-02 -1.226059622236130853e-01 -4.611970938894869505e+03 -4.653855089815761858e+03 -1.182853687874043380e-01 -1.975858633424252275e+02 -4.623852127947401641e+03 9.821254818230812367e-02 9.821254811689117403e-02
8.534883475414022092e-02 -1.165877750705302945e-01 -4.722412301813646081e+03 -4.770327944711598320e+03 -1.124792286303817890e-01 -1.895198207360292599e+02 -4.738731308230684590e+03 9.339422074660232165e-02 9.339422068841676805e-02
