# Pk at z_eff=1.4941 (FKP, NGC) 
#  k(h/Mpc) Pk
8.035714285714286656e-03 4.980412667880774279e+03
1.282894736842105608e-02 5.936284648533845939e+03
1.773648648648648574e-02 6.086671145622560289e+03
2.268442622950819776e-02 5.745718808612376051e+03
2.765109890109889931e-02 5.168033033647086995e+03
3.262795275590551353e-02 4.537457128539199402e+03
3.761094674556213213e-02 3.967091428170086147e+03
4.259792626728110126e-02 3.507629398266233693e+03
4.758763837638376598e-02 3.166109102975300630e+03
5.257930513595167332e-02 2.922264164073651955e+03
5.757241813602014674e-02 2.743103945183554060e+03
6.256663113006397103e-02 2.594093206098124028e+03
6.756170018281536238e-02 2.446874540726295436e+03
7.255744849445325273e-02 2.284627624019852192e+03
7.755374479889043382e-02 2.103780867364544065e+03
8.255048959608321524e-02 1.911938204779557964e+03
8.754760609357999102e-02 1.722777017082357133e+03
9.254503407984421282e-02 1.550404233472152328e+03
9.754272567922873949e-02 1.404937337357195474e+03
1.025406423473433498e-01 1.290604480107622066e+03
1.075387527036769930e-01 1.205864875970910134e+03
1.125370309414088082e-01 1.144838765795155723e+03
1.175354556427277986e-01 1.099173428932363095e+03
1.225340088839533548e-01 1.059937694334402522e+03
1.275326755509994803e-01 1.019467814803298438e+03
1.325314428096820152e-01 9.728610725247363007e+02
1.375302996914940790e-01 9.187187003772729668e+02
1.425292367665162430e-01 8.588720413086088001e+02
1.475282458828035270e-01 7.972411930816824679e+02
1.525273199570046367e-01 7.383399349109769219e+02
1.575264528048370694e-01 6.859582712746718016e+02
1.625256390028400610e-01 6.423557670472910104e+02
1.675248737748737671e-01 6.080141496639096204e+02
1.725241528983477990e-01 5.818443322901072179e+02
1.775234726262892859e-01 5.616342313308368830e+02
1.825228296222166646e-01 5.447899338910191318e+02
1.875222209054278610e-01 5.287291618010340244e+02
1.925216438048121814e-01 5.113377601493401698e+02
1.975210959196753435e-01 4.914583782392335820e+02
2.025205750863645349e-01 4.691275962043514483e+02
2.075200793497193053e-01 4.453029700515839409e+02
2.125196069385495434e-01 4.213623995063930465e+02
2.175191562444953319e-01 3.986773246476359418e+02
2.225187258037367444e-01 3.782956203488215579e+02
2.275183142811141312e-01 3.607748560373840405e+02
2.325179204562972113e-01 3.462028834231359156e+02
2.375175432117004048e-01 3.342322793716114688e+02
2.425171815218931104e-01 3.241475918991407070e+02
2.475168344442932600e-01 3.151139775006118953e+02
2.525165011109659075e-01 3.063060864585293075e+02
2.575161807213774967e-01 2.971571120506105785e+02
2.625158725359777456e-01 2.873518441603656015e+02
2.675155758705018982e-01 2.769217065493076575e+02
2.725152900908989206e-01 2.660956888799804574e+02
2.775150146088086189e-01 2.552958749304247306e+02
2.825147488775190396e-01 2.449450782152140960e+02
2.875144923883456438e-01 2.354296468936888118e+02
2.925142446673808516e-01 2.269259702793391398e+02
2.975140052725731565e-01 2.194636885590296060e+02
3.025137737910936764e-01 2.128978360691372984e+02
3.075135498369613307e-01 2.070055336565449977e+02
3.125133330488949479e-01 2.015283886330324776e+02
3.175131230883688760e-01 1.962120176714761897e+02
3.225129196378496155e-01 1.908834522048853728e+02
3.275127223991919356e-01 1.854244642476828631e+02
3.325125310921836497e-01 1.798392893073585412e+02
3.375123454532153455e-01 1.742172834616273747e+02
3.425121652340696876e-01 1.686658135344557365e+02
3.475119902008143025e-01 1.633138924918492307e+02
3.525118201327878120e-01 1.582668854033220214e+02
3.575116548216731305e-01 1.535771622012772752e+02
3.625114940706449240e-01 1.492770892956517059e+02
3.675113376935891241e-01 1.453246427298850563e+02
3.725111855143835582e-01 1.416396889546604712e+02
3.775110373662358687e-01 1.381457685370565969e+02
3.825108930910748328e-01 1.347683700412238466e+02
3.875107525389865915e-01 1.314405682483675832e+02
3.925106155676961195e-01 1.281351919737334697e+02
3.975104820420864438e-01 1.248523803249801318e+02
4.025103518337533881e-01 1.215978996767714335e+02
4.075102248205951794e-01 1.184042755744020496e+02
4.125101008864293095e-01 1.153107220710956540e+02
4.175099799206386519e-01 1.123480104744877934e+02
4.225098618178422805e-01 1.095256671443020622e+02
4.275097464775888811e-01 1.068483931977479529e+02
4.325096338040718136e-01 1.043148490707007312e+02
4.375095237058644337e-01 1.019049790620161104e+02
