# Tk at z_eff=1.4941 (FKP, NGC) 
#  k(h/Mpc) Tk
8.035714285714286656e-03 8.239949667561274893e-01
1.282894736842105608e-02 7.179060099233419701e-01
1.773648648648648574e-02 6.224507721952964312e-01
2.268442622950819776e-02 5.378576859274423194e-01
2.765109890109889931e-02 4.641230170031359625e-01
3.262795275590551353e-02 4.004391103519893136e-01
3.761094674556213213e-02 3.525427500125918878e-01
4.259792626728110126e-02 3.106298009865844367e-01
4.758763837638376598e-02 2.785377607063161398e-01
5.257930513595167332e-02 2.549188896688965866e-01
5.757241813602014674e-02 2.365386864675908529e-01
6.256663113006397103e-02 2.209107226164991888e-01
6.756170018281536238e-02 2.066916619845146352e-01
7.255744849445325273e-02 1.929523520189043995e-01
7.755374479889043382e-02 1.793098371161689630e-01
8.255048959608321524e-02 1.658697496170885854e-01
8.754760609357999102e-02 1.530827936212873497e-01
9.254503407984421282e-02 1.414020012533337978e-01
9.754272567922873949e-02 1.312514880405908357e-01
1.025406423473433498e-01 1.227882229267926173e-01
1.075387527036769930e-01 1.160267988668348543e-01
1.125370309414088082e-01 1.105362822187559435e-01
1.175354556427277986e-01 1.060635198411553903e-01
1.225340088839533548e-01 1.020663184066086387e-01
1.275326755509994803e-01 9.816747428206190618e-02
1.325314428096820152e-01 9.413221415472014519e-02
1.375302996914940790e-01 8.986400571811963001e-02
1.425292367665162430e-01 8.540785698111773294e-02
1.475282458828035270e-01 8.093718878217112667e-02
1.525273199570046367e-01 7.665743097751392954e-02
1.575264528048370694e-01 7.274930740559118481e-02
1.625256390028400610e-01 6.933395029336551774e-02
1.675248737748737671e-01 6.648581793529417805e-02
1.725241528983477990e-01 6.414243973507383068e-02
1.775234726262892859e-01 6.215715179099349369e-02
1.825228296222166646e-01 6.038412721719038645e-02
1.875222209054278610e-01 5.869266149217760437e-02
1.925216438048121814e-01 5.698614980204086411e-02
1.975210959196753435e-01 5.518864766902079055e-02
2.025205750863645349e-01 5.326459519523062125e-02
2.075200793497193053e-01 5.130335590636963400e-02
2.125196069385495434e-01 4.934754386399366893e-02
2.175191562444953319e-01 4.746380240618220531e-02
2.225187258037367444e-01 4.576550350601621409e-02
2.275183142811141312e-01 4.421057704891336038e-02
2.325179204562972113e-01 4.283483860761570089e-02
2.375175432117004048e-01 4.168161457944418585e-02
2.425171815218931104e-01 4.060994051677777050e-02
2.475168344442932600e-01 3.964462299651025368e-02
2.525165011109659075e-01 3.869862103373909734e-02
2.575161807213774967e-01 3.776040750708162946e-02
2.625158725359777456e-01 3.677879995730858748e-02
2.675155758705018982e-01 3.578682777996010367e-02
2.725152900908989206e-01 3.477026976542993419e-02
2.775150146088086189e-01 3.377412209520653380e-02
2.825147488775190396e-01 3.279738519508462041e-02
2.875144923883456438e-01 3.190136932343637377e-02
2.925142446673808516e-01 3.104574131750938160e-02
2.975140052725731565e-01 3.029753268479151024e-02
3.025137737910936764e-01 2.958410328884409149e-02
3.075135498369613307e-01 2.894614547527419798e-02
3.125133330488949479e-01 2.832998349837555913e-02
3.175131230883688760e-01 2.773554413278000660e-02
3.225129196378496155e-01 2.714937467184141279e-02
3.275127223991919356e-01 2.655931470922896429e-02
3.325125310921836497e-01 2.596661956885339476e-02
3.375123454532153455e-01 2.537932012497181450e-02
3.425121652340696876e-01 2.480057028075111428e-02
3.475119902008143025e-01 2.422688959712885823e-02
3.525118201327878120e-01 2.370389185461890813e-02
3.575116548216731305e-01 2.318089361452120925e-02
3.625114940706449240e-01 2.270905009921449919e-02
3.675113376935891241e-01 2.225893536362088046e-02
3.725111855143835582e-01 2.181889786269066572e-02
3.775110373662358687e-01 2.141622971604906223e-02
3.825108930910748328e-01 2.101356125749254469e-02
3.875107525389865915e-01 2.062142315920846916e-02
3.925106155676961195e-01 2.023590642311536708e-02
