# S0B for NGC data 
# k1-eff  k2-eff  k3-eff S_0B(k1-eff,k2-eff,k3-eff)  S_0B
5.738000000000000045e-03 5.738000000000000045e-03 5.738000000000000045e-03 1.242738588158767128e+10 4.406788667664088249e+09
5.738000000000000045e-03 5.738000000000000045e-03 1.037300000000000028e-02 1.272519220495554352e+10 4.406788667664088249e+09
5.738000000000000045e-03 5.738000000000000045e-03 1.525999999999999926e-02 1.166022757498185730e+10 4.406788667664088249e+09
5.738000000000000045e-03 1.037300000000000028e-02 1.037300000000000028e-02 1.302299852832341576e+10 4.406788667664088249e+09
5.738000000000000045e-03 1.037300000000000028e-02 1.525999999999999926e-02 1.195803389834973145e+10 4.406788667664088249e+09
5.738000000000000045e-03 1.037300000000000028e-02 2.019699999999999968e-02 1.217548533663005638e+10 4.406788667664088249e+09
5.738000000000000045e-03 1.525999999999999926e-02 1.525999999999999926e-02 1.089306926837604332e+10 4.406788667664088249e+09
5.738000000000000045e-03 1.525999999999999926e-02 2.019699999999999968e-02 1.111052070665637016e+10 4.406788667664088249e+09
5.738000000000000045e-03 1.525999999999999926e-02 2.516699999999999840e-02 1.080175337644953728e+10 4.406788667664088249e+09
5.738000000000000045e-03 2.019699999999999968e-02 2.019699999999999968e-02 1.132797214493669701e+10 4.406788667664088249e+09
5.738000000000000045e-03 2.019699999999999968e-02 2.516699999999999840e-02 1.101920481472986412e+10 4.406788667664088249e+09
5.738000000000000045e-03 2.019699999999999968e-02 3.013700000000000059e-02 1.055727443613075256e+10 4.406788667664088249e+09
5.738000000000000045e-03 2.516699999999999840e-02 2.516699999999999840e-02 1.071043748452303505e+10 4.406788667664088249e+09
5.738000000000000045e-03 2.516699999999999840e-02 3.013700000000000059e-02 1.024850710592391968e+10 4.406788667664088249e+09
5.738000000000000045e-03 2.516699999999999840e-02 3.511100000000000332e-02 9.982782570017267227e+09 4.406788667664088249e+09
5.738000000000000045e-03 3.013700000000000059e-02 3.013700000000000059e-02 9.786576727324808121e+09 4.406788667664088249e+09
5.738000000000000045e-03 3.013700000000000059e-02 3.511100000000000332e-02 9.520852191418153763e+09 4.406788667664088249e+09
5.738000000000000045e-03 3.013700000000000059e-02 4.009599999999999970e-02 9.156593330205997467e+09 4.406788667664088249e+09
5.738000000000000045e-03 3.511100000000000332e-02 3.511100000000000332e-02 9.255127655511499405e+09 4.406788667664088249e+09
5.738000000000000045e-03 3.511100000000000332e-02 4.009599999999999970e-02 8.890868794299345016e+09 4.406788667664088249e+09
5.738000000000000045e-03 3.511100000000000332e-02 4.509300000000000114e-02 8.789369265094921112e+09 4.406788667664088249e+09
5.738000000000000045e-03 4.009599999999999970e-02 4.009599999999999970e-02 8.526609933087188721e+09 4.406788667664088249e+09
5.738000000000000045e-03 4.009599999999999970e-02 4.509300000000000114e-02 8.425110403882764816e+09 4.406788667664088249e+09
5.738000000000000045e-03 4.009599999999999970e-02 5.009299999999999864e-02 8.182759561424503326e+09 4.406788667664088249e+09
5.738000000000000045e-03 4.509300000000000114e-02 4.509300000000000114e-02 8.323610874678340912e+09 4.406788667664088249e+09
5.738000000000000045e-03 4.509300000000000114e-02 5.009299999999999864e-02 8.081260032220078468e+09 4.406788667664088249e+09
5.738000000000000045e-03 4.509300000000000114e-02 5.507800000000000196e-02 8.067821371295549393e+09 4.406788667664088249e+09
5.738000000000000045e-03 5.009299999999999864e-02 5.009299999999999864e-02 7.838909189761816978e+09 4.406788667664088249e+09
5.738000000000000045e-03 5.009299999999999864e-02 5.507800000000000196e-02 7.825470528837287903e+09 4.406788667664088249e+09
5.738000000000000045e-03 5.009299999999999864e-02 6.006700000000000234e-02 7.573201272248107910e+09 4.406788667664088249e+09
5.738000000000000045e-03 5.507800000000000196e-02 5.507800000000000196e-02 7.812031867912758827e+09 4.406788667664088249e+09
5.738000000000000045e-03 5.507800000000000196e-02 6.006700000000000234e-02 7.559762611323578835e+09 4.406788667664088249e+09
5.738000000000000045e-03 5.507800000000000196e-02 6.505900000000000571e-02 7.527668126892509460e+09 4.406788667664088249e+09
5.738000000000000045e-03 6.006700000000000234e-02 6.006700000000000234e-02 7.307493354734397888e+09 4.406788667664088249e+09
5.738000000000000045e-03 6.006700000000000234e-02 6.505900000000000571e-02 7.275398870303330421e+09 4.406788667664088249e+09
5.738000000000000045e-03 6.006700000000000234e-02 7.005400000000000515e-02 7.126293604902151108e+09 4.406788667664088249e+09
5.738000000000000045e-03 6.505900000000000571e-02 6.505900000000000571e-02 7.243304385872262001e+09 4.406788667664088249e+09
5.738000000000000045e-03 6.505900000000000571e-02 7.005400000000000515e-02 7.094199120471082687e+09 4.406788667664088249e+09
5.738000000000000045e-03 6.505900000000000571e-02 7.505299999999999472e-02 7.054768032407696724e+09 4.406788667664088249e+09
5.738000000000000045e-03 7.005400000000000515e-02 7.005400000000000515e-02 6.945093855069902420e+09 4.406788667664088249e+09
5.738000000000000045e-03 7.005400000000000515e-02 7.505299999999999472e-02 6.905662767006516457e+09 4.406788667664088249e+09
5.738000000000000045e-03 7.005400000000000515e-02 8.005400000000000016e-02 6.801389156757268906e+09 4.406788667664088249e+09
5.738000000000000045e-03 7.505299999999999472e-02 7.505299999999999472e-02 6.866231678943130493e+09 4.406788667664088249e+09
5.738000000000000045e-03 7.505299999999999472e-02 8.005400000000000016e-02 6.761958068693882942e+09 4.406788667664088249e+09
5.738000000000000045e-03 8.005400000000000016e-02 8.005400000000000016e-02 6.657684458444634438e+09 4.406788667664088249e+09
